t_pc,sample_idx,force
10491.25893443,25,0.0028
10491.697132919,26,0.0031
10492.139498466,27,0.0532
10492.577725423,28,0.0446
10493.02010471,29,0.0578
10493.458332635,30,0.0554
10493.900583493,31,0.0508
10494.338997666,32,0.0529
10494.777238681,33,0.0389
10495.219644441,34,0.0368
10495.65790665,35,0.051
10496.10019107,36,0.0521
10496.538528066,37,0.0379
10496.980715375,38,0.0412
10497.419005524,39,0.0075
10497.857385066,40,-0.0005
10498.299731057,41,0.0094
10498.737895234,42,0.0128
10499.180183145,43,0.0094
10499.618550542,44,0.0015
10500.056813891,45,0.0087
10500.499200825,46,-0.0007
10500.937424143,47,-0.0101
10501.379803266,48,-0.0023
10501.81803849,49,-0.0079
10502.256295204,50,0.0026
10502.698783316,51,-0.008
10503.136910855,52,-0.0217
10503.579346496,53,0.0025
10504.017581262,54,-0.0135
10504.459864137,55,-0.0097
10504.898227838,56,0.0074
10505.336399385,57,-0.034
10505.778818346,58,-0.0017
10506.217008837,59,-0.0075
10506.659383082,60,-0.0136
10507.097706567,61,0.0055
10507.53680617,62,-0.0024
10507.978446689,63,-0.0014
10508.41647426,64,0.0144
10508.858881547,65,0.013
10509.297119447,66,-0.001
10509.739330645,67,0.0098
10510.177736062,68,0.0139
10510.616022336,69,0.0177
10511.058337334,70,0.0079
10511.496729767,71,-0.0046
10511.938909244,72,-0.0031
10512.377297875,73,0.0054
10512.815540065,74,-0.008
10513.257882842,75,-0.0267
10513.697201142,76,-0.0345
10514.138489421,77,-0.0341
10514.576797318,78,-0.0517
10515.014971704,79,-0.0571
10515.457355458,80,-0.0255
10515.895754865,81,0.0386
10516.337991874,82,0.0128
10516.776251316,83,0.0602
10517.218479239,84,0.0782
10517.659360217,85,0.375
10518.095360331,86,4.5432
10518.537623575,87,35.0748
10518.976154647,88,69.0708
10519.41822984,89,103.3939
10519.856480815,90,138.4639
10520.298773631,91,171.023
10520.736971362,92,41.0635
10521.175277363,93,-37.6777
10521.618205474,94,-37.7715
