t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
11363.46473699,946,102568.57,102076.21,102569.37,101721.55,102555.04,102577.36,102593.2,102574.48
11363.48505332,947,102568.57,102086.11,102560.32,101721.55,102551.04,102574.12,102598.29,102573.43
11363.508801389,948,102569.66,102082.09,102563.26,101715.75,102553.18,102580.27,102578.28,102576.6
11363.529428696,949,102565.68,102083.17,102562.21,101712.51,102551.04,102575.2,102586.29,102578.47
11363.55006207,950,102582.68,102080.22,102566.2,101712.51,102551.04,102577.36,102586.29,102581.4
11363.570612618,951,102574.72,102087.18,102571.25,101728.77,102555.04,102571.2,102590.29,102586.44
11363.591179451,952,102570.75,102082.09,102550.22,101708.53,102559.04,102579.52,102590.29,102588.55
11363.611889384,953,102568.57,102079.15,102553.16,101720.81,102551.04,102584.26,102586.29,102564.64
11363.632509359,954,102556.64,102082.09,102572.31,101712.51,102559.04,102578.44,102590.29,102576.6
11363.652961656,955,102573.64,102084.24,102567.26,101713.59,102561.18,102577.36,102593.2,102576.6
11363.676814299,956,102568.57,102084.24,102560.32,101708.53,102560.11,102581.35,102585.2,102581.64
11363.697417401,957,102577.61,102080.22,102565.37,101708.53,102552.11,102575.2,102591.37,102576.6
11363.717979544,958,102564.6,102084.24,102573.36,101717.57,102559.04,102588.26,102589.2,102578.47
11363.738571472,959,102553.75,102074.06,102565.15,101716.49,102555.04,102581.35,102590.29,102574.48
11363.759122622,960,102564.6,102087.18,102556.33,101715.41,102563.32,102578.44,102585.2,102580.58
11363.779717181,961,102570.75,102081.3,102571.25,101720.47,102551.04,102561.38,102593.2,102578.71
11363.800364999,962,102562.79,102080.22,102558.21,101716.49,102564.11,102579.52,102580.11,102580.58
11363.820882146,963,102569.66,102080.22,102571.25,101708.53,102561.18,102568.29,102594.29,102582.45
11363.84477108,964,102570.75,102084.24,102562.21,101716.49,102555.04,102575.2,102590.29,102574.48
11363.865294603,965,102574.72,102083.17,102573.36,101716.49,102561.18,102577.36,102586.29,102578.47
11363.88594865,966,102570.75,102078.07,102568.31,101721.55,102551.04,102572.28,102586.29,102582.45
11363.906647175,967,102569.66,102078.07,102570.2,101708.53,102556.11,102578.44,102598.29,102576.6
11363.927095039,968,102569.66,102080.22,102562.21,101717.57,102551.04,102577.36,102594.29,102568.63
11363.947693037,969,102568.57,102087.18,102555.27,101722.63,102545.97,102587.5,102585.2,102576.6
11363.968319164,970,102565.68,102078.36,102558.21,101711.77,102548.11,102575.2,102581.2,102566.51
11363.988887974,971,102578.7,102082.37,102567.26,101723.71,102551.04,102572.28,102582.28,102566.51
11364.012729335,972,102564.6,102072.19,102567.26,101708.53,102560.11,102590.42,102597.21,102576.6
11364.033290926,973,102570.75,102088.26,102559.27,101726.61,102560.11,102566.45,102586.29,102576.6
11364.053886242,974,102569.66,102079.15,102571.25,101717.57,102564.11,102581.35,102589.2,102574.48
11364.074543965,975,102570.75,102082.37,102571.25,101717.57,102560.11,102573.36,102594.29,102576.6
11364.09508446,976,102572.92,102088.26,102567.26,101710.69,102551.04,102571.2,102587.37,102569.68
11364.115692549,977,102562.79,102087.18,102570.2,101712.51,102560.11,102577.36,102593.2,102584.57
11364.136310065,978,102578.7,102086.39,102562.21,101718.65,102552.11,102578.44,102593.2,102574.48
11364.156804854,979,102573.64,102082.09,102564.32,101719.73,102553.18,102573.36,102576.11,102578.47
11364.180669117,980,102570.75,102083.17,102571.25,101708.53,102560.11,102567.21,102586.29,102574.48
11364.201298116,981,102572.92,102078.07,102573.36,101717.57,102563.32,102581.35,102588.12,102573.43
