t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m4_x,m4_y,m4_z
362840.152830398,1779456882.9105911,13697,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.152853603,1779456882.912422,13698,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.152865992,1779456882.9124362,13699,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.154138857,1779456882.9137087,13700,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.155529722,1779456882.9150994,13701,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.1567182,1779456882.9162881,13702,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.158140732,1779456882.9177105,13703,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.161016743,1779456882.920582,13704,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.161029492,1779456882.9205992,13705,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.162109937,1779456882.9216793,13706,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.163532068,1779456882.9231014,13707,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.164718153,1779456882.9242878,13708,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.166140274,1779456882.9257104,13709,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.169013441,1779456882.928582,13710,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.16902568,1779456882.928596,13711,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.170138904,1779456882.9297087,13712,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.171534185,1779456882.9311008,13713,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.172718396,1779456882.932289,13714,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.17416169,1779456882.933731,13715,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.175532083,1779456882.9351025,13716,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.17671997,1779456882.9362905,13717,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.178139548,1779456882.93771,13718,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.17952922,1779456882.9391003,13719,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.180717999,1779456882.940289,13720,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.182139099,1779456882.94171,13721,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.183528601,1779456882.9430995,13722,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.18471778,1779456882.944289,13723,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.186138649,1779456882.9457095,13724,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.187528442,1779456882.9470997,13725,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.18871711,1779456882.9482896,13726,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.190136738,1779456882.949709,13727,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.191528784,1779456882.9511008,13728,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.192716361,1779456882.9522886,13729,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.194137471,1779456882.9537096,13730,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.195527804,1779456882.9550993,13731,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.196718155,1779456882.9562888,13732,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.198137412,1779456882.957709,13733,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.199529158,1779456882.9590995,13734,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.200718157,1779456882.960289,13735,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.202137614,1779456882.961709,13736,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.203527497,1779456882.9630997,13737,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.204717678,1779456882.9642887,13738,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.206138097,1779456882.965709,13739,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.207528099,1779456882.9670994,13740,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.208745321,1779456882.9683154,13741,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.210241865,1779456882.9697132,13742,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.21153421,1779456882.9711013,13743,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.213111286,1779456882.9726815,13744,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.214568361,1779456882.9741027,13745,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.215722917,1779456882.9752898,13746,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.217148174,1779456882.976712,13747,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.218532648,1779456882.9781034,13748,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.219720165,1779456882.9792914,13749,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.221147955,1779456882.980712,13750,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.22253261,1779456882.9821014,13751,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.223720607,1779456882.983292,13752,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.226019705,1779456882.985582,13753,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.226531069,1779456882.9861014,13754,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.227719196,1779456882.9872901,13755,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.229140857,1779456882.988711,13756,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.230533234,1779456882.990103,13757,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.231721181,1779456882.9912913,13758,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.233142031,1779456882.992711,13759,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.234531743,1779456882.994102,13760,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.235721864,1779456882.9952917,13761,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.237149974,1779456882.996713,13762,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.238534569,1779456882.9981043,13763,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.239721975,1779456882.9992914,13764,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.241150717,1779456883.0007122,13765,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.242532357,1779456883.002102,13766,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.243722047,1779456883.003292,13767,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.245150258,1779456883.0047116,13768,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.246534372,1779456883.0061038,13769,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.247721217,1779456883.007291,13770,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.249154355,1779456883.0087204,13771,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.250535084,1779456883.0101042,13772,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.251724414,1779456883.0112941,13773,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.25314303,1779456883.0127125,13774,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.254534635,1779456883.0141037,13775,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.255723794,1779456883.0152931,13776,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.257151705,1779456883.0167127,13777,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.258534046,1779456883.0181038,13778,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.259723686,1779456883.0192926,13779,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.261217325,1779456883.020721,13780,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.262541759,1779456883.022104,13781,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.263721774,1779456883.0232918,13782,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.265149554,1779456883.0247164,13783,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.266542612,1779456883.0261056,13784,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.267723779,1779456883.0272932,13785,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.269142996,1779456883.0287127,13786,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.270532899,1779456883.030102,13787,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.27172343,1779456883.0312927,13788,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.273144039,1779456883.032714,13789,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.276023716,1779456883.0355892,13790,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.276035123,1779456883.0356052,13791,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.277147696,1779456883.036717,13792,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.278542547,1779456883.0381048,13793,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.279724445,1779456883.0392945,13794,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.281144433,1779456883.040714,13795,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.282542228,1779456883.0421047,13796,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.283722994,1779456883.0432928,13797,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.285143904,1779456883.044714,13798,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.28654283,1779456883.0461037,13799,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.287723867,1779456883.0472934,13800,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.289143915,1779456883.0487137,13801,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.290533398,1779456883.0501037,13802,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.291723087,1779456883.0512931,13803,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.293144187,1779456883.0527132,13804,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.294533689,1779456883.0541034,13805,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.295722077,1779456883.0552924,13806,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.297145211,1779456883.0567143,13807,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.298541793,1779456883.0581048,13808,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.299723181,1779456883.0592926,13809,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.301143509,1779456883.0607135,13810,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.302550568,1779456883.0621135,13811,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.303724724,1779456883.0632942,13812,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.305143821,1779456883.0647142,13813,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.306542718,1779456883.0661047,13814,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.307721531,1779456883.067292,13815,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.309145706,1779456883.0687127,13816,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.310532474,1779456883.070103,13817,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.311721883,1779456883.0712924,13818,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.313143134,1779456883.072714,13819,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.314533958,1779456883.074105,13820,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.315725831,1779456883.0752978,13821,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
362840.317142304,1779456883.0767145,13822,0.0,2007.4500732421875,0.0,0.0,409.20001220703125,1982.4639892578125
