t_pc,sample_idx,force
362840.510550329,42,21.1665
362840.948755265,43,20.8312
362841.39111044,44,21.4782
362841.829332102,45,20.8725
362842.271723792,46,21.1803
362842.710021118,47,21.1395
362843.152363403,48,20.3776
362843.590632677,49,20.3357
362844.033056055,50,20.1598
362844.471247651,51,19.753
362844.913538579,52,17.9532
362845.351834883,53,16.971
362845.794166142,54,16.2481
362846.23247104,55,16.0907
362846.674850301,56,16.0975
362847.113076569,57,15.7065
362847.555392976,58,16.694
362847.993632384,59,17.5449
362848.436096764,60,17.0774
362848.874250102,61,17.2327
362849.316614141,62,16.8195
362849.754863314,63,16.7985
362850.197214323,64,16.6349
362850.635497017,65,16.9352
362851.077806332,66,17.6165
362851.516137068,67,17.8707
362851.958477251,68,17.3201
362852.396726203,69,18.0286
362852.839120327,70,20.46
362853.277336561,71,18.4792
362853.719704134,72,18.1637
362854.158046789,73,19.3469
362854.60043236,74,19.4809
362855.038619178,75,19.4606
362855.480945369,76,18.8638
362855.919161402,77,18.7524
362856.361524389,78,18.618
362856.799789586,79,18.6135
362857.242321298,80,18.9167
362857.680370619,81,19.2659
362858.122771073,82,19.6848
362858.560965964,83,20.2406
362859.003413548,84,21.1464
362859.447051173,85,21.0423
362859.883967229,86,21.6081
362860.326164455,87,21.5969
362860.764654172,88,22.601
362861.206840552,89,21.1393
362861.645295516,90,21.6224
362862.087412208,91,21.975
362862.526155279,92,21.8588
362862.968051659,93,21.3975
362863.406423438,94,21.4909
362863.848634204,95,21.3448
362864.287013434,96,20.1733
362864.729293255,97,21.6187
362865.167685715,98,21.5199
362865.609900046,99,21.9747
362866.050109184,100,21.0956
362866.491093916,101,21.1895
362866.928855651,102,20.9021
362867.371112498,103,21.2665
362867.809443725,104,20.6868
362868.251724427,105,20.7933
362868.690146912,106,21.6987
362869.132313521,107,21.1611
362869.57077785,108,21.2133
362870.012954705,109,21.2048
362870.451340515,110,20.2379
362870.89354382,111,20.2238
362871.332018133,112,20.1667
362871.774221578,113,20.4683
362872.212638806,114,20.7415
362872.654810433,115,20.3255
362873.093322704,116,20.0408
362873.535530355,117,20.5062
362873.97377411,118,20.1458
362874.416202245,119,20.2208
362874.854455324,120,20.9479
362875.296711699,121,20.7004
362875.735018689,122,21.1708
362876.177484982,123,20.6532
362876.61559182,124,20.2683
362877.058007807,125,21.212
362877.497076409,126,21.6301
362877.938684414,127,21.7411
362878.376912174,128,21.0204
362878.819153958,129,21.8423
362879.257486176,130,22.3136
362879.699811455,131,21.0436
362880.138097144,132,21.397
362880.580434341,133,21.5086
362881.018741882,134,21.3875
362881.461357741,135,22.2645
362881.899278748,136,22.874
362882.34177118,137,22.0702
362882.779917377,138,21.5114
362883.22225172,139,21.878
362883.664487134,140,22.2416
362884.10286398,141,22.7657
362884.545158503,142,22.1882
362884.983556741,143,18.456
362885.42576937,144,19.9928
362885.864131394,145,21.4549
362886.306451766,146,22.5044
362886.744695781,147,22.7553
362887.187056914,148,23.2451
362887.62536098,149,24.5325
362888.067694022,150,22.8989
362888.505932889,151,28.0653
362888.949138931,152,39.217
362889.38655935,153,50.4879
362889.828945251,154,84.0159
362890.2672055,155,89.3039
362890.709562257,156,85.3573
362891.147787754,157,90.9575
362891.590127466,158,94.7706
362892.028407435,159,86.9041
362892.470686765,160,77.4279
362892.909040656,161,14.0109
362893.351397443,162,13.9093
362893.793547397,163,20.3117
362894.23198115,164,19.3372
