t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
362840.158896625,876,102221.85,101364.69,102238.47,104547.12,102213.4,102247.14,102242.18,102215.84
362840.183102797,877,102210.91,101375.77,102216.28,104547.12,102213.4,102239.1,102234.12,102209.74
362840.203750304,878,102211.99,101378.75,102220.3,104553.33,102213.4,102231.06,102234.12,102215.84
362840.224200974,879,102226.93,101372.78,102222.23,104533.28,102210.43,102221.95,102223.91,102200.67
362840.244885697,880,102220.0,101364.69,102228.34,104548.22,102211.28,102228.92,102233.04,102207.65
362840.265374344,881,102215.99,101366.62,102214.19,104544.92,102214.46,102225.97,102220.96,102207.82
362840.285964715,882,102220.0,101370.66,102229.38,104539.1,102212.34,102240.98,102215.86,102209.74
362840.306366441,883,102215.99,101375.77,102220.3,104546.02,102211.28,102239.1,102224.99,102215.84
362840.32701508,884,102221.07,101372.78,102223.28,104538.01,102214.46,102236.96,102233.04,102213.75
362840.350726483,885,102211.99,101372.78,102220.3,104548.22,102212.34,102239.1,102233.04,102213.75
362840.371755988,886,102220.0,101363.63,102219.26,104547.12,102207.25,102246.07,102222.03,102207.82
362840.391810649,887,102221.85,101369.6,102229.38,104549.32,102225.48,102246.07,102223.91,102199.79
362840.412849058,888,102222.15,101380.87,102221.34,104549.32,102217.43,102234.01,102219.88,102211.66
362840.433362572,889,102228.01,101372.78,102226.41,104541.3,102209.37,102243.12,102227.94,102205.73
362840.454077302,890,102217.85,101370.66,102220.3,104531.09,102217.43,102224.9,102226.06,102212.71
362840.474433248,891,102224.0,101358.53,102207.2,104544.92,102209.37,102236.96,102222.84,102201.71
362840.495113865,892,102220.0,101366.62,102228.34,104542.01,102221.45,102234.01,102229.02,102212.71
362840.518771927,893,102224.0,101374.71,102225.36,104549.32,102218.49,102228.92,102227.94,102205.73
362840.539768132,894,102220.0,101370.66,102225.36,104539.1,102213.4,102247.14,102222.84,102212.71
362840.560257691,895,102222.93,101372.78,102204.22,104541.3,102215.52,102235.08,102220.96,102209.74
362840.580883265,896,102215.99,101366.62,102221.34,104547.12,102221.45,102238.03,102226.06,102201.71
362840.600876773,897,102220.0,101379.81,102220.3,104548.22,102219.55,102239.1,102224.99,102205.73
362840.621944597,898,102220.0,101371.72,102220.3,104547.12,102213.4,102242.05,102229.02,102208.7
362840.641976132,899,102220.0,101367.68,102226.41,104549.32,102203.22,102231.87,102224.99,102205.73
362840.663021561,900,102220.0,101359.59,102225.36,104553.33,102214.46,102236.96,102235.19,102205.73
362840.686741016,901,102220.0,101372.78,102230.43,104539.1,102213.4,102239.1,102224.99,102207.82
362840.70719446,902,102224.0,101370.66,102224.32,104541.3,102213.4,102231.06,102224.99,102201.71
362840.727834116,903,102226.15,101366.62,102221.34,104547.12,102209.37,102235.08,102226.87,102201.71
362840.748279147,904,102215.99,101368.74,102226.41,104552.23,102220.39,102228.92,102227.13,102213.75
362840.768875226,905,102224.0,101374.71,102221.34,104548.22,102211.28,102246.07,102227.13,102209.74
362840.789952534,906,102220.0,101375.77,102214.35,104552.23,102213.4,102235.08,102233.04,102201.71
362840.810108258,907,102224.0,101367.68,102210.33,104539.1,102213.4,102241.23,102233.04,102203.8
362840.831151323,908,102224.0,101371.72,102222.39,104539.1,102207.46,102239.1,102220.96,102204.68
362840.854732068,909,102220.0,101366.62,102216.28,104543.11,102210.43,102238.03,102231.16,102208.7
362840.875286956,910,102228.01,101370.66,102229.38,104549.32,102217.43,102234.01,102238.15,102205.73
362840.897138294,911,102220.0,101369.6,102220.3,104547.12,102211.28,102240.98,102224.99,102209.74
362840.918120298,912,102224.0,101370.66,102222.39,104541.3,102213.4,102239.1,102227.13,102205.73
362840.936910566,913,102225.86,101371.72,102213.3,104547.12,102205.34,102247.14,102229.02,102213.75
362840.957429749,914,102222.15,101368.74,102220.3,104543.11,102214.46,102229.99,102226.06,102209.74
362840.978050706,915,102220.0,101375.77,102233.4,104554.04,102217.43,102256.25,102233.04,102213.75
362840.99849787,916,102221.85,101372.78,102221.34,104539.1,102213.4,102236.96,102234.12,102204.68
362841.024095246,917,102217.85,101372.78,102221.34,104536.91,102213.4,102238.03,102224.99,102201.71
362841.043250005,918,102217.85,101380.87,102220.3,104549.32,102214.46,102235.08,102222.84,102205.73
362841.063942281,919,102228.01,101370.66,102225.36,104544.92,102204.28,102254.11,102223.1,102208.7
362841.084259308,920,102220.0,101366.62,102221.34,104547.12,102217.43,102242.05,102226.06,102206.77
362841.105028289,921,102228.01,101374.71,102220.3,104553.33,102205.34,102231.06,102237.07,102207.82
362841.125399158,922,102220.0,101360.46,102216.28,104547.12,102203.22,102232.94,102233.04,102208.86
362841.146043601,923,102221.07,101370.66,102224.32,104531.09,102207.46,102236.96,102224.99,102214.8
362841.16650697,924,102220.0,101371.72,102218.37,104548.22,102207.46,102234.83,102242.18,102208.7
362841.190761244,925,102224.0,101362.57,102227.3,104548.22,102211.28,102234.83,102224.99,102208.7
362841.211350603,926,102214.92,101378.75,102220.3,104543.11,102203.22,102240.17,102224.99,102219.86
362841.231840873,927,102220.0,101370.66,102211.22,104547.12,102213.4,102238.03,102234.12,102200.67
362841.252503022,928,102228.01,101362.57,102207.2,104551.13,102214.46,102251.16,102218.0,102205.73
362841.273123429,929,102214.92,101370.66,102216.28,104547.51,102221.45,102234.01,102231.16,102209.74
362841.293565475,930,102218.92,101370.66,102222.39,104553.33,102212.34,102245.0,102229.02,102201.71
362841.313996345,931,102222.15,101370.66,102218.37,104535.1,102213.4,102246.07,102227.13,102209.74
362841.334351931,932,102221.07,101368.74,102228.34,104539.1,102216.37,102240.98,102236.26,102214.8
