t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m4_x,m4_y,m4_z
13027.599849272,1779107070.3512073,40895,104.85000610351562,-92.55000305175781,-1498.2220458984375,18.150001525878906,172.8000030517578,-1331.241943359375
13027.599869652,1779107070.359439,40896,94.6500015258789,-93.1500015258789,-1489.0260009765625,24.450000762939453,169.95001220703125,-1326.885986328125
13027.599881901,1779107070.3594515,40897,94.6500015258789,-90.45000457763672,-1493.865966796875,17.400001525878906,170.40000915527344,-1326.885986328125
13027.599893248,1779107070.359463,40898,96.1500015258789,-91.35000610351562,-1496.2860107421875,14.100000381469727,170.40000915527344,-1337.050048828125
13027.599904665,1779107070.3594742,40899,97.80000305175781,-93.75,-1490.9620361328125,25.05000114440918,175.0500030517578,-1327.85400390625
13027.599922823,1779107070.3594859,40900,94.35000610351562,-95.70000457763672,-1490.9620361328125,25.05000114440918,168.15000915527344,-1328.5799560546875
13027.599934461,1779107070.3595035,40901,101.4000015258789,-95.70000457763672,-1493.1400146484375,20.25,168.15000915527344,-1326.885986328125
13027.599946128,1779107070.359516,40902,102.30000305175781,-99.45000457763672,-1482.491943359375,18.30000114440918,167.10000610351562,-1330.5159912109375
13027.599957616,1779107070.3595273,40903,102.30000305175781,-93.1500015258789,-1489.2679443359375,21.450000762939453,165.90000915527344,-1330.5159912109375
13027.599969874,1779107070.359539,40904,102.30000305175781,-94.95000457763672,-1500.6419677734375,16.5,165.90000915527344,-1327.3699951171875
13027.59998069,1779107070.359551,40905,102.9000015258789,-89.55000305175781,-1493.3819580078125,18.0,167.5500030517578,-1329.3060302734375
13027.599991186,1779107070.359562,40906,96.1500015258789,-89.70000457763672,-1493.3819580078125,18.0,169.20001220703125,-1332.6939697265625
13027.600005638,1779107070.3595726,40907,97.50000762939453,-89.70000457763672,-1494.592041015625,14.700000762939453,176.5500030517578,-1332.93603515625
13027.600015163,1779107070.3595865,40908,90.30000305175781,-93.1500015258789,-1486.60595703125,18.30000114440918,174.60000610351562,-1331.241943359375
13027.601161546,1779107070.3607318,40909,90.30000305175781,-91.05000305175781,-1495.802001953125,24.30000114440918,164.10000610351562,-1331.241943359375
13027.603789761,1779107070.363358,40910,94.80000305175781,-92.25,-1484.427978515625,20.700000762939453,164.10000610351562,-1336.8079833984375
13027.604161443,1779107070.363731,40911,99.00000762939453,-92.55000305175781,-1484.18603515625,13.500000953674316,165.45001220703125,-1322.530029296875
13027.60568707,1779107070.3652556,40912,98.10000610351562,-91.5,-1484.18603515625,13.500000953674316,174.15000915527344,-1324.7080078125
13027.607163002,1779107070.3667314,40913,102.45000457763672,-91.5,-1489.2679443359375,17.100000381469727,168.45001220703125,-1325.1920166015625
13027.608688519,1779107070.3682573,40914,99.60000610351562,-90.75,-1489.9940185546875,14.100000381469727,170.25,-1325.91796875
13027.610163039,1779107070.3697314,40915,99.60000610351562,-95.10000610351562,-1486.364013671875,15.600000381469727,171.3000030517578,-1325.91796875
13027.611688075,1779107070.3712573,40916,103.6500015258789,-94.35000610351562,-1488.300048828125,14.40000057220459,168.3000030517578,-1327.6119384765625
13027.613162255,1779107070.372731,40917,96.1500015258789,-92.55000305175781,-1484.9119873046875,20.100000381469727,168.3000030517578,-1336.323974609375
13027.614687041,1779107070.374256,40918,96.9000015258789,-91.20000457763672,-1484.9119873046875,20.100000381469727,164.85000610351562,-1334.14599609375
13027.616162903,1779107070.3757322,40919,92.70000457763672,-91.20000457763672,-1493.865966796875,20.850000381469727,171.45001220703125,-1323.0140380859375
13027.617691474,1779107070.3772564,40920,99.9000015258789,-92.4000015258789,-1491.929931640625,21.450000762939453,169.95001220703125,-1335.5980224609375
13027.619162709,1779107070.3787317,40921,99.9000015258789,-91.5,-1497.011962890625,17.55000114440918,174.0,-1335.5980224609375
13027.620686013,1779107070.3802557,40922,93.45000457763672,-93.75,-1488.783935546875,25.350000381469727,174.0,-1329.5479736328125
13027.622163457,1779107070.3817325,40923,96.0,-86.70000457763672,-1489.2679443359375,18.150001525878906,165.90000915527344,-1326.64404296875
13027.623686481,1779107070.383257,40924,91.35000610351562,-94.35000610351562,-1489.2679443359375,18.150001525878906,174.3000030517578,-1333.904052734375
13027.625162232,1779107070.3847315,40925,98.25000762939453,-94.35000610351562,-1486.364013671875,23.25,173.10000610351562,-1326.64404296875
13027.62668819,1779107070.3862567,40926,96.0,-93.45000457763672,-1489.0260009765625,16.05000114440918,170.70001220703125,-1333.4200439453125
13027.628165755,1779107070.3877332,40927,96.0,-91.05000305175781,-1494.592041015625,19.350000381469727,170.25,-1333.4200439453125
13027.629688828,1779107070.3892577,40928,96.45000457763672,-92.4000015258789,-1489.9940185546875,19.80000114440918,170.25,-1328.822021484375
13027.631176388,1779107070.3907454,40929,99.30000305175781,-94.20000457763672,-1480.31396484375,14.550000190734863,167.85000610351562,-1337.7760009765625
13027.632687443,1779107070.3922563,40930,98.85000610351562,-90.0,-1480.31396484375,14.550000190734863,170.5500030517578,-1328.095947265625
13027.634173891,1779107070.393742,40931,101.4000015258789,-90.0,-1489.9940185546875,16.950000762939453,173.85000610351562,-1326.64404296875
13027.635690224,1779107070.395258,40932,95.85000610351562,-94.6500015258789,-1496.0439453125,18.450000762939453,169.65000915527344,-1330.031982421875
13027.63717558,1779107070.3967447,40933,95.85000610351562,-95.85000610351562,-1491.929931640625,19.05000114440918,167.85000610351562,-1330.031982421875
13027.638687967,1779107070.3982573,40934,95.10000610351562,-91.5,-1489.9940185546875,16.650001525878906,167.85000610351562,-1331.968017578125
13027.640172853,1779107070.3997407,40935,95.25,-87.9000015258789,-1497.4959716796875,21.450000762939453,169.5,-1333.177978515625
13027.641688655,1779107070.401256,40936,94.35000610351562,-94.35000610351562,-1497.4959716796875,21.450000762939453,175.35000610351562,-1336.323974609375
13027.643189725,1779107070.4027581,40937,96.75000762939453,-94.35000610351562,-1489.2679443359375,16.5,172.5,-1331.968017578125
13027.644689063,1779107070.4042578,40938,95.70000457763672,-96.1500015258789,-1499.6739501953125,19.650001525878906,172.65000915527344,-1337.7760009765625
13027.64616194,1779107070.4057322,40939,95.70000457763672,-90.60000610351562,-1490.47802734375,19.05000114440918,171.3000030517578,-1337.7760009765625
13027.64768919,1779107070.407258,40940,95.85000610351562,-94.5,-1494.592041015625,12.750000953674316,171.3000030517578,-1325.4339599609375
13027.649163199,1779107070.4087327,40941,101.85000610351562,-93.60000610351562,-1489.510009765625,12.300000190734863,165.90000915527344,-1327.6119384765625
13027.650687955,1779107070.4102573,40942,95.85000610351562,-97.35000610351562,-1489.510009765625,12.300000190734863,169.65000915527344,-1322.2879638671875
13027.652162825,1779107070.4117324,40943,96.60000610351562,-97.35000610351562,-1486.8480224609375,17.700000762939453,169.8000030517578,-1335.8399658203125
13027.653689244,1779107070.413259,40944,95.55000305175781,-93.45000457763672,-1489.510009765625,14.850000381469727,170.70001220703125,-1329.5479736328125
13027.655162882,1779107070.4147322,40945,95.55000305175781,-94.80000305175781,-1496.0439453125,19.80000114440918,168.0,-1329.5479736328125
13027.656687718,1779107070.4162576,40946,103.95000457763672,-88.05000305175781,-1490.719970703125,22.5,168.0,-1336.5660400390625
13027.658162349,1779107070.417731,40947,101.25000762939453,-97.95000457763672,-1495.802001953125,16.05000114440918,169.5,-1325.1920166015625
13027.659688126,1779107070.4192572,40948,94.35000610351562,-89.85000610351562,-1495.802001953125,16.05000114440918,173.70001220703125,-1332.6939697265625
13027.661164278,1779107070.420733,40949,99.00000762939453,-92.4000015258789,-1492.4139404296875,24.750001907348633,173.40000915527344,-1325.1920166015625
13027.662688463,1779107070.4222574,40950,99.00000762939453,-92.4000015258789,-1497.011962890625,15.000000953674316,171.0,-1324.7080078125
13027.66416099,1779107070.4237316,40951,99.00000762939453,-94.80000305175781,-1491.68798828125,20.700000762939453,169.20001220703125,-1324.7080078125
13027.665686978,1779107070.4252567,40952,93.0,-97.6500015258789,-1495.3179931640625,21.75,169.20001220703125,-1326.1600341796875
13027.667164262,1779107070.4267337,40953,96.75000762939453,-92.85000610351562,-1490.2359619140625,11.700000762939453,166.95001220703125,-1328.5799560546875
13027.668689028,1779107070.4282572,40954,99.30000305175781,-95.85000610351562,-1490.2359619140625,11.700000762939453,178.65000915527344,-1325.1920166015625
13027.670165421,1779107070.4297342,40955,100.50000762939453,-95.85000610351562,-1488.783935546875,14.700000762939453,166.65000915527344,-1325.1920166015625
13027.671689656,1779107070.4312592,40956,94.5,-100.80000305175781,-1487.33203125,23.25,163.35000610351562,-1324.4659423828125
13027.673162163,1779107070.432732,40957,94.5,-98.85000610351562,-1490.47802734375,14.850000381469727,166.65000915527344,-1324.4659423828125
13027.674690694,1779107070.434259,40958,91.5,-93.1500015258789,-1486.8480224609375,18.150001525878906,172.65000915527344,-1328.5799560546875
13027.676166086,1779107070.435735,40959,96.30000305175781,-96.45000457763672,-1492.656005859375,21.150001525878906,172.65000915527344,-1325.1920166015625
