t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
625911.704984921,10844,102685.55,94546.48,102670.78,106646.24,102655.68,102681.12,102691.65,102668.19
625911.724998726,10845,102674.58,94608.18,102681.82,106642.22,102672.04,102681.12,102697.58,102676.24
625911.746042259,10846,102675.37,94679.05,102675.7,106629.04,102668.86,102685.15,102700.54,102660.13
625911.766180583,10847,102686.63,94751.9,102680.78,106645.13,102671.83,102694.28,102693.54,102662.07
625911.790111426,10848,102670.56,94832.85,102677.79,106734.71,102668.86,102686.22,102685.46,102668.19
625911.810740883,10849,102685.55,94891.51,102685.85,106702.54,102660.78,102686.22,102686.53,102668.19
625911.831232932,10850,102677.52,94958.33,102678.68,106754.81,102673.95,102687.29,102685.46,102667.14
625911.851956972,10851,102672.43,95014.99,102671.67,106917.45,102667.79,102681.37,102698.65,102664.16
625911.872336891,10852,102684.48,95093.9,102673.76,106623.23,102665.88,102685.15,102685.46,102676.24
625911.892916843,10853,102676.44,95167.75,102680.78,106673.27,102655.68,102684.08,102686.53,102666.09
625911.915111528,10854,102668.41,95233.57,102681.82,107019.1,102653.77,102677.09,102688.42,102674.3
625911.934012319,10855,102678.6,95248.71,102680.78,106614.07,102663.76,102678.16,102684.38,102668.19
625911.958148483,10856,102668.41,95303.38,102681.82,106612.96,102665.88,102696.42,102689.5,102669.23
625911.978787885,10857,102684.48,95344.86,102679.73,106627.93,102667.79,102685.15,102704.58,102670.12
625911.999251851,10858,102673.5,95396.49,102676.75,106737.61,102665.88,102685.15,102685.46,102667.14
625912.019835649,10859,102673.5,95433.92,102673.76,106705.44,102659.72,102678.16,102684.38,102659.09
625912.040435131,10860,102688.78,95496.69,102675.7,106614.07,102659.72,102687.29,102693.54,102672.21
625912.061455139,10861,102668.41,95537.17,102673.76,106614.07,102653.77,102686.22,102676.31,102664.16
625912.081630308,10862,102670.56,95553.36,102665.71,106614.07,102651.65,102686.22,102682.49,102652.08
625912.102155467,10863,102682.61,95604.94,102672.72,106614.07,102664.82,102690.25,102689.5,102664.16
625912.126188274,10864,102704.55,95686.95,102683.76,107244.31,102668.86,102688.11,102697.58,102682.2
625912.146780405,10865,102670.56,95717.29,102671.67,106998.99,102665.88,102692.14,102688.42,102672.21
625912.167229208,10866,102671.64,95751.68,102669.74,106622.11,102661.84,102684.08,102693.54,102664.16
625912.188137187,10867,102669.49,95782.06,102669.74,106612.96,102656.74,102681.12,102685.46,102674.3
625912.208342151,10868,102678.6,95814.45,102663.62,106616.98,102659.72,102680.05,102693.54,102684.29
625912.22911862,10869,102684.48,95862.02,102676.75,106606.03,102662.9,102697.24,102686.53,102676.24
625912.249364306,10870,102676.44,95896.42,102673.76,106604.92,102660.78,102693.21,102685.46,102672.21
625912.269983508,10871,102668.41,95925.79,102681.82,106602.01,102658.87,102685.15,102689.5,102684.29
625912.294161614,10872,102674.58,95956.14,102675.7,106604.92,102659.93,102692.14,102681.42,102676.24
625912.314762819,10873,102676.44,96009.78,102678.68,106599.78,102660.78,102686.22,102690.57,102680.26
625912.335207626,10874,102687.7,96039.15,102689.88,106599.78,102669.92,102689.18,102700.54,102686.38
625912.355860148,10875,102676.44,96088.74,102676.75,106599.1,102653.77,102696.42,102703.76,102685.33
625912.376342813,10876,102677.52,96120.12,102679.73,106593.97,102672.04,102677.09,102685.46,102684.29
625912.39694579,10877,102680.46,96143.38,102672.72,106596.87,102672.04,102689.18,102694.61,102668.19
625912.417383025,10878,102674.58,96190.96,102673.76,106591.74,102662.9,102685.15,102684.38,102676.24
625912.438026404,10879,102673.5,96207.15,102673.76,106593.97,102655.89,102689.18,102686.53,102686.38
625912.462161085,10880,102686.63,96243.59,102671.67,106599.1,102661.84,102677.09,102685.46,102676.24
625912.48312029,10881,102682.61,96288.13,102680.78,106581.9,102672.04,102685.15,102698.65,102685.33
625912.503287948,10882,102675.37,96309.38,102673.76,106583.02,102659.72,102681.12,102690.57,102676.24
625912.523882863,10883,102680.46,96333.67,102671.67,106589.95,102655.68,102679.23,102685.46,102677.28
625912.544328081,10884,102685.55,96362.01,102679.73,106576.09,102669.92,102686.22,102691.39,102677.28
625912.56493892,10885,102672.43,96415.66,102677.79,106573.86,102665.88,102686.22,102695.69,102683.4
625912.585300912,10886,102669.49,96431.85,102681.82,106581.9,102660.78,102689.18,102685.46,102676.24
625912.609712402,10887,102676.44,96464.24,102680.78,106565.82,102664.82,102697.24,102689.5,102686.38
625912.630160044,10888,102661.46,96468.3,102677.79,106581.9,102652.71,102684.08,102681.42,102678.33
625912.650784874,10889,102678.6,96506.76,102671.67,106573.86,102644.63,102676.02,102685.46,102674.3
625912.670943658,10890,102676.44,96535.1,102679.73,106557.78,102661.84,102685.15,102689.5,102682.35
625912.691888623,10891,102668.41,96551.3,102663.62,106569.84,102663.96,102682.19,102693.54,102677.28
625912.712389175,10892,102668.41,96575.59,102672.72,106557.78,102659.72,102685.15,102692.46,102682.35
625912.733026173,10893,102670.56,96595.84,102681.82,106564.71,102666.94,102689.18,102695.69,102680.26
625912.755959967,10894,102690.64,96640.37,102679.73,106564.71,102669.92,102680.05,102702.69,102688.31
625912.777715478,10895,102676.44,96660.62,102662.57,106566.93,102667.79,102677.09,102681.42,102684.29
625912.797822794,10896,102678.6,96688.96,102671.67,106565.82,102659.93,102679.23,102678.45,102690.4
625912.818837304,10897,102669.49,96723.38,102677.79,106562.91,102657.81,102686.22,102693.54,102681.31
625912.838824869,10898,102678.6,96730.46,102663.62,106554.87,102653.77,102679.23,102685.46,102675.19
625912.863112452,10899,102668.41,96769.94,102673.76,106557.78,102657.81,102685.15,102680.34,102677.28
625912.880419251,10900,102700.54,96807.4,102679.73,106549.74,102672.04,102694.28,102690.57,102692.34
625912.901074687,10901,102658.52,96804.36,102668.69,106545.71,102659.72,102663.94,102677.38,102667.14
625912.921390609,10902,102676.44,96823.59,102675.7,106560.01,102658.87,102669.03,102678.45,102686.38
625912.945150463,10903,102670.56,96869.15,102668.69,106565.82,102658.87,102692.39,102677.38,102679.22
625912.966079554,10904,102684.48,96884.33,102680.78,106560.68,102676.93,102697.24,102695.69,102689.36
625912.9862199,10905,102665.47,96909.64,102675.7,106554.87,102672.04,102677.09,102677.38,102676.24
625913.006877379,10906,102676.44,96925.84,102675.7,106554.87,102662.9,102686.22,102697.58,102681.31
625913.027972291,10907,102669.49,96949.12,102672.72,106541.69,102661.84,102684.08,102681.42,102670.12
625913.047919525,10908,102676.44,96964.3,102669.74,106549.74,102665.88,102677.09,102690.57,102676.24
625913.06917486,10909,102686.63,96989.61,102665.71,106555.98,102657.81,102686.22,102686.53,102676.24
625913.089308937,10910,102678.6,97013.91,102668.69,106544.6,102673.95,102691.32,102702.69,102684.29
625913.113157925,10911,102677.52,97031.12,102683.76,106547.94,102666.09,102677.09,102683.31,102677.28
625913.133840943,10912,102668.41,97063.51,102671.67,106554.87,102653.77,102695.35,102683.31,102678.33
