t_pc,sample_idx,force
626267.976018287,57,6.7728
626268.418408771,58,6.6785
626268.856668395,59,8.1937
626269.298976013,60,7.1581
626269.741218744,61,7.2298
626270.179640112,62,6.3976
626270.621982714,63,6.3352
626271.060235407,64,6.294
626271.502615945,65,7.7243
626271.94204659,66,6.5598
626272.38347673,67,7.0834
626272.825524335,68,8.1099
626273.263858431,69,7.8328
626273.706104425,70,6.9601
626274.144428135,71,6.3844
626274.586734361,72,7.0245
626275.028998763,73,6.8083
626275.467341682,74,6.1437
626275.909746195,75,6.102
626276.347932127,76,6.4486
626276.79031644,77,7.6112
626277.228568411,78,6.4379
626277.670925062,79,6.507
626278.113285909,80,7.9066
626278.551513794,81,6.1131
626278.993922413,82,5.9444
626279.43214571,83,6.5469
626279.874552607,84,6.3627
626280.316850119,85,6.4821
626280.755405698,86,6.5924
626281.197451338,87,8.0139
626281.635786995,88,8.4748
626282.080054146,89,8.0917
626282.5203046,90,10.013
626282.959185001,91,8.3869
626283.401071069,92,7.7046
626283.839341657,93,8.1131
626284.281676434,94,7.8344
626284.7199654,95,7.1902
626285.162285875,96,9.1892
626285.604482292,97,9.6257
626286.042922757,98,8.0673
626286.485329372,99,7.7219
626286.923637216,100,7.735
626287.367117015,101,7.7601
626287.804115668,102,9.0631
626288.246461571,103,7.9974
626288.68869906,104,8.3036
626289.127067085,105,8.089
626289.569707944,106,8.3641
626290.007747361,107,8.7351
626290.450237352,108,8.4803
626290.888361497,109,9.0101
626291.330632897,110,7.8975
626291.772996847,111,8.6974
626292.211304519,112,7.8744
626292.65358994,113,8.286
626293.091848589,114,6.9897
626293.534285218,115,6.669
626293.972487661,116,6.8192
626294.414831761,117,7.7376
626294.857216982,118,7.0977
626295.295506888,119,8.3181
626295.737776845,120,7.5451
626296.176051426,121,7.0401
626296.618491781,122,8.1114
626297.060628947,123,7.1156
626297.49909627,124,6.9009
626297.941420359,125,6.7728
626298.37964135,126,6.1927
626298.822039781,127,6.9614
626299.264194763,128,5.9396
626299.702582395,129,6.7878
626300.144943499,130,6.3406
626300.583298501,131,6.4564
626301.025591201,132,7.2241
626301.463767674,133,6.3492
626301.906270011,134,7.4116
626302.348462701,135,6.7998
626302.786813487,136,7.3938
626303.229129442,137,5.9675
626303.667463152,138,6.1662
626304.109810625,139,6.2394
626304.552035853,140,8.2899
626304.990362532,141,6.3454
626305.432749986,142,6.5341
626305.871087281,143,8.5528
626306.313317065,144,5.5295
626306.753084324,145,6.9597
626307.193973089,146,7.1122
626307.6361741,147,5.7074
626308.074541651,148,5.9933
626308.516861381,149,6.5316
626308.955223233,150,6.6815
626309.397485807,151,7.284
626309.835865576,152,6.9238
626310.27827427,153,8.7362
626310.720344793,154,6.6308
626311.158728147,155,6.6783
626311.601180978,156,6.873
626312.039385832,157,7.9277
626312.481733274,158,7.9023
626312.920580489,159,9.0749
626313.362305249,160,8.5113
626313.804644968,161,21.6296
626314.242907639,162,55.9612
626314.68528789,163,93.7875
626315.123570101,164,127.0355
626315.565860104,165,42.2896
626316.008232623,166,-30.5885
626316.446535285,167,-30.0475
