t_pc,sample_idx,force
365214.456543234,42,24.0601
365214.898863152,43,23.1371
365215.337161365,44,23.6461
365215.779454893,45,24.1815
365216.221691414,46,23.6961
365216.660091672,47,23.7419
365217.102384909,48,23.1115
365217.540796915,49,23.0819
365217.983083432,50,22.9038
365218.421385892,51,22.8454
365218.863689275,52,22.9796
365219.301921088,53,23.1352
365219.745780445,54,23.8125
365220.186531128,55,23.8971
365220.624912397,56,22.6272
365221.067178103,57,24.1968
365221.505669679,58,24.3452
365221.947888985,59,23.9067
365222.386125865,60,23.4356
365222.828545254,61,23.631
365223.266826662,62,23.6037
365223.709089032,63,23.7215
365224.151312564,64,23.3302
365224.5897843,65,22.5846
365225.032106131,66,22.627
365225.470298955,67,22.7433
365225.912955992,68,22.3014
365226.351035845,69,22.9178
365226.793278517,70,23.5614
365227.231539383,71,23.0443
365227.673890699,72,22.8367
365228.116135433,73,23.7663
365228.554503572,74,23.3075
365229.000324767,75,23.0746
365229.435142384,76,23.2356
365229.877477365,77,22.9518
365230.315733234,78,23.6502
365230.758084029,79,23.4525
365231.196292016,80,22.5406
365231.63874173,81,22.7452
365232.080912131,82,23.2162
365232.51928644,83,23.6604
365232.961805038,84,23.5825
365233.399975378,85,23.1959
365233.84227834,86,23.8192
365234.280497935,87,24.5795
365234.722926717,88,24.2074
365235.165081886,89,23.2518
365235.603501132,90,23.4279
365236.045763944,91,22.7615
365236.484096229,92,23.386
365236.926425591,93,23.0425
365237.364932169,94,23.1779
365237.807103052,95,22.8484
365238.245400494,96,23.4756
365238.687735374,97,23.7228
365239.129882771,98,23.5467
365239.56834998,99,22.29
365240.010699503,100,22.1688
365240.449136707,101,22.1061
365240.891286216,102,22.0335
365241.329544319,103,22.3945
365241.772088086,104,22.1875
365242.210150512,105,22.1866
365242.652459173,106,22.1111
365243.094724518,107,21.5041
365243.534097127,108,21.8276
365243.975445505,109,22.7821
365244.413726152,110,23.2685
365244.856151539,111,23.2458
365245.294339125,112,23.3546
365245.736645232,113,23.0396
365246.175042545,114,23.1417
365246.617251455,115,23.7175
365247.059521638,116,23.513
365247.49782585,117,23.5235
365247.940204477,118,23.1714
365248.378438471,119,22.1061
365248.820850428,120,21.7487
365249.259084064,121,21.9843
365249.701465034,122,22.2673
365250.139830529,123,22.6516
365250.582046801,124,23.0074
365251.024266046,125,22.6127
365251.462691011,126,22.3024
365251.904934883,127,23.0072
365252.343263873,128,23.801
365252.785690382,129,36.5159
365253.223966933,130,67.2122
365253.666262243,131,99.4613
365254.104589641,132,131.1743
365254.546858692,133,163.7365
365254.985700858,134,198.4496
365255.42754078,135,232.967
365255.869695688,136,249.963
365256.308075935,137,-6.0149
365256.750343594,138,-13.9972
365257.188675939,139,-13.45
