t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m4_x,m4_y,m4_z
365257.57313448,1779459300.3326917,30954,54.60000228881836,-123.75000762939453,-1459.501953125,-14.40000057220459,279.3000183105469,-1339.9539794921875
365257.573154029,1779459300.3327236,30955,55.80000305175781,-127.05000305175781,-1466.761962890625,-11.550000190734863,282.0,-1338.7440185546875
365257.573166849,1779459300.3327363,30956,56.400001525878906,-126.1500015258789,-1463.615966796875,-3.6000001430511475,283.5,-1341.8900146484375
365257.573177925,1779459300.3327487,30957,54.900001525878906,-123.1500015258789,-1466.761962890625,-11.25,288.0,-1342.3740234375
365257.574739368,1779459300.3343096,30958,55.80000305175781,-136.0500030517578,-1469.907958984375,-9.300000190734863,287.8500061035156,-1335.5980224609375
365257.57632051,1779459300.3358893,30959,55.35000228881836,-127.95000457763672,-1467.0040283203125,-14.550000190734863,285.9000244140625,-1346.0040283203125
365257.578740331,1779459300.3383093,30960,58.20000076293945,-127.95000457763672,-1465.552001953125,-20.25,288.0,-1343.0999755859375
365257.580321653,1779459300.3398883,30961,59.55000305175781,-129.75,-1455.387939453125,-11.850000381469727,283.6500244140625,-1342.3740234375
365257.581900151,1779459300.3414688,30962,55.20000076293945,-127.35000610351562,-1460.9539794921875,-15.15000057220459,285.1500244140625,-1343.0999755859375
365257.585014252,1779459300.3445816,30963,49.80000305175781,-129.60000610351562,-1460.469970703125,-13.65000057220459,285.1500244140625,-1343.8260498046875
365257.585895916,1779459300.3454666,30964,49.80000305175781,-125.70000457763672,-1463.615966796875,-11.700000762939453,284.25,-1344.0679931640625
365257.587899798,1779459300.3474684,30965,59.250003814697266,-127.6500015258789,-1461.196044921875,-19.950000762939453,283.95001220703125,-1344.0679931640625
365257.589899563,1779459300.3494687,30966,52.500003814697266,-127.6500015258789,-1460.22802734375,-13.050000190734863,290.25,-1344.7939453125
365257.591898117,1779459300.3514678,30967,55.500003814697266,-120.30000305175781,-1460.9539794921875,-12.600000381469727,285.3000183105469,-1335.5980224609375
365257.593899394,1779459300.3534696,30968,58.35000228881836,-124.05000305175781,-1460.9539794921875,-12.90000057220459,284.1000061035156,-1341.64794921875
365257.595784767,1779459300.3553529,30969,55.650001525878906,-122.70000457763672,-1462.406005859375,-10.65000057220459,280.95001220703125,-1347.4559326171875
365257.59804041,1779459300.357472,30970,55.35000228881836,-125.85000610351562,-1463.3740234375,-20.25,280.95001220703125,-1346.0040283203125
365257.599907654,1779459300.3594673,30971,54.60000228881836,-132.75,-1463.3740234375,-14.850000381469727,282.0,-1348.1820068359375
365257.601909974,1779459300.3614712,30972,55.20000076293945,-130.5,-1462.1639404296875,-16.5,286.3500061035156,-1348.1820068359375
365257.603898272,1779459300.3634677,30973,62.250003814697266,-127.05000305175781,-1467.9720458984375,-13.050000190734863,282.9000244140625,-1341.64794921875
365257.605898508,1779459300.3654695,30974,56.85000228881836,-124.95000457763672,-1467.2459716796875,-14.100000381469727,284.4000244140625,-1344.552001953125
365257.60789638,1779459300.3674672,30975,62.250003814697266,-125.4000015258789,-1469.4239501953125,-15.000000953674316,282.75,-1347.697998046875
365257.60990564,1779459300.3694704,30976,53.85000228881836,-135.60000610351562,-1469.1820068359375,-13.200000762939453,287.4000244140625,-1341.8900146484375
365257.6119016,1779459300.371469,30977,57.000003814697266,-121.95000457763672,-1469.1820068359375,-6.150000095367432,283.6500244140625,-1349.634033203125
365257.614208189,1779459300.373701,30978,53.85000228881836,-116.55000305175781,-1463.3740234375,-17.100000381469727,284.4000244140625,-1340.43798828125
365257.615979168,1779459300.3754702,30979,44.55000305175781,-127.35000610351562,-1470.3919677734375,-12.15000057220459,286.95001220703125,-1337.050048828125
365257.617918403,1779459300.3774686,30980,54.60000228881836,-123.1500015258789,-1464.342041015625,-6.750000476837158,289.0500183105469,-1333.4200439453125
365257.619922705,1779459300.3794684,30981,54.60000228881836,-130.0500030517578,-1457.5660400390625,-17.700000762939453,284.1000061035156,-1346.2459716796875
365257.621911674,1779459300.3814702,30982,54.150001525878906,-130.0500030517578,-1469.666015625,-17.700000762939453,282.0,-1349.3919677734375
365257.623914464,1779459300.3834677,30983,54.30000305175781,-130.0500030517578,-1463.3740234375,-20.400001525878906,284.5500183105469,-1343.583984375
365257.625906778,1779459300.3854697,30984,55.35000228881836,-127.6500015258789,-1453.2099609375,-14.250000953674316,284.5500183105469,-1341.64794921875
365257.627949929,1779459300.387469,30985,58.20000076293945,-127.35000610351562,-1453.2099609375,-11.100000381469727,287.8500061035156,-1346.0040283203125
365257.629939609,1779459300.3894691,30986,60.30000305175781,-125.4000015258789,-1460.7120361328125,-4.5,282.3000183105469,-1346.0040283203125
365257.631955479,1779459300.3914719,30987,57.30000305175781,-126.9000015258789,-1467.2459716796875,-9.90000057220459,286.3500061035156,-1336.5660400390625
365257.633942014,1779459300.393472,30988,55.650001525878906,-125.4000015258789,-1460.9539794921875,-13.500000953674316,286.95001220703125,-1341.406005859375
365257.635931594,1779459300.3954754,30989,55.650001525878906,-124.6500015258789,-1471.1180419921875,-12.450000762939453,277.8000183105469,-1335.8399658203125
365257.637903798,1779459300.3974695,30990,56.70000076293945,-130.65000915527344,-1461.196044921875,-15.750000953674316,281.4000244140625,-1341.406005859375
365257.639911996,1779459300.3994713,30991,55.80000305175781,-130.65000915527344,-1465.552001953125,-15.300000190734863,283.6500244140625,-1338.7440185546875
365257.641321779,1779459300.40089,30992,54.900001525878906,-128.10000610351562,-1463.615966796875,-18.30000114440918,286.3500061035156,-1345.761962890625
365257.644021684,1779459300.4035833,30993,61.05000305175781,-125.55000305175781,-1463.615966796875,-13.200000762939453,286.3500061035156,-1340.9219970703125
365257.645325216,1779459300.4048924,30994,57.45000076293945,-123.30000305175781,-1466.2779541015625,-16.650001525878906,285.75,-1337.050048828125
365257.646900749,1779459300.4064696,30995,52.05000305175781,-126.60000610351562,-1466.2779541015625,-10.350000381469727,282.1500244140625,-1336.5660400390625
365257.648901186,1779459300.4084702,30996,52.20000076293945,-122.55000305175781,-1466.2779541015625,-12.300000190734863,288.6000061035156,-1351.5699462890625
365257.650898397,1779459300.4104688,30997,54.750003814697266,-122.25000762939453,-1476.926025390625,-10.050000190734863,291.3000183105469,-1335.114013671875
365257.652901137,1779459300.4124708,30998,51.45000076293945,-130.35000610351562,-1459.0179443359375,-12.450000762939453,287.4000244140625,-1346.0040283203125
365257.654909596,1779459300.4144723,30999,56.250003814697266,-130.8000030517578,-1459.0179443359375,-11.25,287.25,-1339.22802734375
365257.656901569,1779459300.4164703,31000,54.150001525878906,-131.25,-1469.1820068359375,-11.25,283.8000183105469,-1340.196044921875
365257.658907614,1779459300.4184701,31001,52.650001525878906,-129.3000030517578,-1463.3740234375,-16.5,278.70001220703125,-1343.0999755859375
365257.660750903,1779459300.4203203,31002,54.45000076293945,-134.10000610351562,-1463.1319580078125,-21.600000381469727,278.70001220703125,-1339.9539794921875
365257.662329872,1779459300.4218924,31003,54.45000076293945,-129.45001220703125,-1459.0179443359375,-18.30000114440918,284.70001220703125,-1339.9539794921875
365257.664743403,1779459300.424313,31004,54.60000228881836,-126.60000610351562,-1476.6839599609375,-15.15000057220459,282.0,-1337.533935546875
365257.666321891,1779459300.425892,31005,62.10000228881836,-123.45000457763672,-1466.2779541015625,-11.850000381469727,287.70001220703125,-1350.1180419921875
365257.668742614,1779459300.428312,31006,57.45000076293945,-128.85000610351562,-1462.64794921875,-13.500000953674316,287.1000061035156,-1343.342041015625
365257.670320941,1779459300.429891,31007,55.650001525878906,-127.6500015258789,-1456.114013671875,-9.75,283.6500244140625,-1352.5379638671875
365257.672742425,1779459300.432312,31008,49.35000228881836,-129.15000915527344,-1467.2459716796875,-12.600000381469727,282.1500244140625,-1331.968017578125
365257.674328694,1779459300.4338915,31009,54.45000076293945,-124.80000305175781,-1460.7120361328125,-14.100000381469727,282.1500244140625,-1337.7760009765625
365257.676757299,1779459300.4363196,31010,54.60000228881836,-122.70000457763672,-1470.1500244140625,-12.450000762939453,278.70001220703125,-1347.4559326171875
365257.678321625,1779459300.437891,31011,55.500003814697266,-133.20001220703125,-1473.053955078125,-13.65000057220459,285.75,-1341.8900146484375
365257.680749108,1779459300.4403121,31012,53.250003814697266,-132.0,-1459.501953125,-12.15000057220459,285.45001220703125,-1339.22802734375
365257.68232351,1779459300.4418933,31013,59.70000076293945,-126.45000457763672,-1467.488037109375,-7.200000286102295,282.1500244140625,-1339.9539794921875
365257.68474997,1779459300.4443128,31014,54.30000305175781,-129.75,-1464.8260498046875,-15.450000762939453,288.75,-1333.6619873046875
365257.686324112,1779459300.445893,31015,58.20000076293945,-131.70001220703125,-1458.7760009765625,-10.950000762939453,284.1000061035156,-1338.260009765625
365257.688744714,1779459300.4483132,31016,58.80000305175781,-123.9000015258789,-1467.2459716796875,-17.700000762939453,279.3000183105469,-1342.615966796875
365257.69032163,1779459300.4498909,31017,56.70000076293945,-129.45001220703125,-1466.761962890625,-15.600000381469727,283.8000183105469,-1342.1319580078125
365257.692747921,1779459300.4523182,31018,52.80000305175781,-129.15000915527344,-1471.60205078125,-10.65000057220459,285.75,-1349.634033203125
365257.694322112,1779459300.453892,31019,55.35000228881836,-126.60000610351562,-1469.907958984375,-18.0,288.0,-1344.552001953125
365257.696754252,1779459300.456313,31020,53.55000305175781,-128.25,-1457.8079833984375,-14.850000381469727,284.70001220703125,-1339.469970703125
365257.698320181,1779459300.4578907,31021,56.85000228881836,-126.45000457763672,-1467.488037109375,-15.000000953674316,283.95001220703125,-1346.2459716796875
365257.700755645,1779459300.4603121,31022,55.650001525878906,-131.85000610351562,-1461.196044921875,-17.100000381469727,284.5500183105469,-1340.43798828125
365257.702324889,1779459300.4618914,31023,54.45000076293945,-128.5500030517578,-1465.552001953125,-17.100000381469727,284.1000061035156,-1346.488037109375
365257.704752232,1779459300.4643128,31024,55.20000076293945,-125.4000015258789,-1454.6619873046875,-14.250000953674316,283.0500183105469,-1350.843994140625
365257.706323329,1779459300.4658916,31025,60.45000076293945,-127.80000305175781,-1464.583984375,-16.200000762939453,280.95001220703125,-1338.501953125
365257.70874994,1779459300.4683194,31026,55.650001525878906,-132.45001220703125,-1465.552001953125,-10.65000057220459,291.45001220703125,-1348.1820068359375
365257.710321627,1779459300.4698906,31027,52.500003814697266,-124.6500015258789,-1463.3740234375,-13.050000190734863,284.8500061035156,-1341.406005859375
365257.712749611,1779459300.4723148,31028,58.650001525878906,-129.0,-1470.8759765625,-10.800000190734863,278.70001220703125,-1340.6800537109375
365257.714412807,1779459300.473983,31029,52.05000305175781,-127.35000610351562,-1464.0999755859375,-16.80000114440918,285.45001220703125,-1346.2459716796875
365257.716749172,1779459300.4763129,31030,59.10000228881836,-126.00000762939453,-1465.552001953125,-10.050000190734863,282.9000244140625,-1339.9539794921875
365257.718322021,1779459300.4778938,31031,60.45000076293945,-129.75,-1474.02197265625,-14.100000381469727,277.5,-1338.260009765625
365257.720748622,1779459300.4803154,31032,58.95000076293945,-130.8000030517578,-1465.0679931640625,-22.05000114440918,283.6500244140625,-1340.9219970703125
