t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
365257.576629908,2949,102203.47,101690.21,102567.59,110315.8,102189.05,102204.53,102213.96,102206.99
365257.600993827,2950,102195.46,101690.21,102548.35,110323.84,102186.08,102216.6,102209.92,102211.01
365257.621222631,2951,102203.47,101691.27,102563.56,110326.14,102189.05,102203.46,102215.85,102211.01
365257.642489916,2952,102200.54,101690.21,102563.4,110323.84,102193.08,102213.64,102217.99,102211.01
365257.662086564,2953,102204.55,101702.35,102553.42,110326.14,102201.15,102207.48,102231.16,102215.02
365257.683146344,2954,102203.47,101691.27,102566.54,110322.12,102195.2,102207.48,102215.85,102219.04
365257.703179532,2955,102208.56,101697.24,102571.61,110324.99,102197.12,102211.51,102211.81,102222.02
365257.724441008,2956,102220.58,101699.37,102570.72,110322.12,102190.11,102217.67,102217.99,102208.03
365257.744660929,2957,102208.56,101689.15,102567.59,110326.14,102185.02,102212.58,102215.85,102212.05
365257.768388696,2958,102204.55,101690.21,102554.47,110321.53,102189.05,102209.62,102213.96,102204.9
365257.788998406,2959,102207.48,101683.17,102556.56,110326.14,102185.02,102216.6,102220.95,102223.06
365257.810153171,2960,102200.54,101692.13,102570.56,110315.8,102193.08,102207.48,102215.03,102206.99
365257.83101328,2961,102195.46,101694.26,102562.52,110326.7,102189.05,102207.48,102216.92,102215.02
365257.85129941,2962,102200.54,101706.4,102567.59,110329.01,102186.08,102212.58,102219.06,102225.15
365257.871252557,2963,102213.36,101739.85,102575.63,110333.02,102195.2,102227.61,102222.02,102208.03
365257.892219517,2964,102204.55,101783.32,102578.61,110326.14,102200.29,102206.42,102220.13,102198.95
365257.915928356,2965,102204.55,101828.92,102576.68,110330.72,102194.14,102216.6,102215.85,102228.12
365257.936407469,2966,102202.4,101844.05,102579.66,110322.12,102197.12,102221.69,102222.02,102223.95
365257.957016057,2967,102204.55,101846.18,102570.56,110330.16,102197.12,102208.55,102213.96,102223.06
365257.97754821,2968,102209.35,101846.18,102570.56,110327.85,102198.17,102212.58,102230.09,102215.02
365257.998234135,2969,102215.5,101846.18,102565.49,110326.14,102202.21,102212.58,102213.96,102211.01
365258.018737074,2970,102192.52,101831.91,102571.61,110327.85,102186.08,102202.39,102216.1,102206.99
365258.039201524,2971,102195.46,101817.84,102565.49,110324.99,102182.05,102208.55,102213.96,102221.13
365258.060293163,2972,102204.55,101822.75,102574.59,110324.99,102192.23,102216.6,102212.89,102216.07
365258.083939657,2973,102228.6,101832.97,102581.59,110326.14,102197.12,102232.7,102223.91,102231.1
365258.104399341,2974,102207.48,101820.62,102566.54,110333.02,102193.08,102224.65,102230.09,102231.1
365258.125045486,2975,102205.62,101812.73,102571.61,110324.99,102190.11,102217.67,102213.96,102215.02
365258.145529816,2976,102201.33,101795.47,102565.49,110326.14,102189.05,102208.55,102205.89,102208.03
365258.166085104,2977,102203.47,101799.52,102566.54,110324.43,102190.97,102208.55,102220.95,102223.06
365258.186538537,2978,102215.5,101820.82,102569.52,110310.07,102197.12,102222.51,102222.02,102231.1
365258.208267,2979,102202.4,101811.66,102583.68,110318.1,102205.18,102217.67,102222.02,102223.06
365258.227787082,2980,102194.66,101788.43,102576.68,110310.07,102178.87,102208.55,102211.81,102198.95
365258.251936727,2981,102196.53,101779.27,102554.47,110322.12,102180.99,102214.71,102205.89,102224.11
365258.27243581,2982,102211.49,101791.42,102573.54,110326.14,102191.17,102208.55,102213.96,102232.14
365258.29304569,2983,102208.56,101805.69,102587.7,110318.1,102205.18,102224.65,102223.91,102232.14
365258.313449579,2984,102207.48,101792.48,102571.45,110319.82,102198.17,102220.62,102223.91,102216.07
365258.334231189,2985,102203.47,101780.34,102573.54,110315.8,102190.11,102220.62,102222.02,102217.11
365258.354679655,2986,102210.42,101775.23,102566.54,110310.07,102195.2,102216.6,102213.96,102223.06
