t_pc,sample_idx,force
2732.89471888,65,-1.9777
2733.333010604,66,-2.0844
2733.775375844,67,-3.3485
2734.213796551,68,-5.1611
2734.655985179,69,-5.6558
2735.094200798,70,-5.214
2735.536565433,71,-5.0862
2735.974836577,72,-5.6217
2736.417164074,73,-6.1589
2736.855495474,74,-5.2722
2737.297783422,75,-4.6325
2737.736222511,76,-4.7883
2738.178500537,77,-4.7988
2738.616702211,78,-5.2751
2739.05923061,79,-4.6335
2739.497266835,80,-5.456
2739.939651963,81,-4.9474
2740.377982071,82,-5.0794
2740.820267982,83,-5.5124
2741.258503856,84,-5.7292
2741.700898881,85,-4.9932
2742.139180697,86,-5.477
2742.581461142,87,-4.861
2743.019831471,88,-4.677
2743.462209525,89,-4.7129
2743.900345776,90,-3.6062
2744.342698046,91,-5.0378
2744.780963987,92,-3.8045
2745.223303257,93,-4.2898
2745.661590528,94,-4.5253
2746.103926366,95,-4.8453
2746.542189077,96,-4.3498
2746.984571115,97,-4.5406
2747.422813494,98,-4.0893
2747.865195596,99,-3.3467
2748.303479651,100,-5.3167
2748.745773196,101,-4.6838
2749.184055572,102,-5.2978
2749.626377793,103,-5.3008
2750.064644466,104,-4.9568
2750.50697878,105,-5.027
2750.945400018,106,-4.8543
2751.387625221,107,-4.5086
2751.825840463,108,-3.7371
2752.268297425,109,-4.5932
2752.706469802,110,-4.4152
2753.148901803,111,-4.2541
2753.587101829,112,-4.5543
2754.029481747,113,-4.3604
2754.467740296,114,-4.2143
2754.910054029,115,-4.8068
2755.352302296,116,-4.0415
2755.790660121,117,-3.8306
2756.232912303,118,-4.599
2756.671326944,119,-4.9963
2757.113532549,120,-4.6277
2757.551968708,121,-4.4344
2757.994206306,122,-3.9949
2758.43261167,123,-4.301
2758.875012189,124,-4.6483
2759.31321384,125,-4.9314
2759.755416249,126,-4.7214
2760.193760887,127,-4.2601
2760.635933961,128,7.4833
2761.074422737,129,41.4988
2761.516599907,130,74.2769
2761.955014363,131,108.0104
2762.397277829,132,139.251
2762.835574667,133,166.048
2763.277893624,134,188.7296
2763.716239115,135,228.6054
2764.158434406,136,247.3299
2764.596874913,137,-32.4594
2765.039023564,138,-40.8915
2765.478086471,139,-39.9875
