t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m4_x,m4_y,m4_z
5543.897509526,1778070541.5958405,14661,62.70000076293945,-91.20000457763672,-1500.4000244140625,9.0,263.70001220703125,-1362.4599609375
5543.897795344,1778070541.596143,14662,63.45000076293945,-91.20000457763672,-1497.011962890625,9.0,273.75,-1363.18603515625
5543.89897217,1778070541.597324,14663,63.45000076293945,-92.70000457763672,-1494.833984375,9.75,270.3000183105469,-1356.89404296875
5543.900215743,1778070541.5985658,14664,66.1500015258789,-88.95000457763672,-1494.833984375,1.6500000953674316,270.3000183105469,-1356.89404296875
5543.901396789,1778070541.5997493,14665,66.0,-88.95000457763672,-1500.6419677734375,1.6500000953674316,273.75,-1369.2359619140625
5543.90261399,1778070541.6009538,14666,66.0,-93.75,-1498.947998046875,4.950000286102295,268.20001220703125,-1354.9580078125
5543.903830609,1778070541.6021733,14667,58.05000305175781,-94.95000457763672,-1498.947998046875,9.0,266.8500061035156,-1354.9580078125
5543.905049855,1778070541.6033602,14668,60.45000076293945,-94.95000457763672,-1503.7879638671875,9.0,266.8500061035156,-1369.2359619140625
5543.906225801,1778070541.6045742,14669,60.45000076293945,-95.85000610351562,-1493.1400146484375,13.65000057220459,266.70001220703125,-1356.4100341796875
5543.907410319,1778070541.6057591,14670,60.60000228881836,-99.75000762939453,-1493.1400146484375,13.65000057220459,271.20001220703125,-1356.4100341796875
5543.908631159,1778070541.6069753,14671,60.45000076293945,-99.75000762939453,-1486.8480224609375,13.65000057220459,271.20001220703125,-1363.18603515625
5543.909798112,1778070541.6081455,14672,60.45000076293945,-92.55000305175781,-1498.4639892578125,11.100000381469727,270.6000061035156,-1360.0400390625
5543.911049152,1778070541.6093678,14673,62.10000228881836,-94.35000610351562,-1498.4639892578125,3.3000001907348633,275.8500061035156,-1360.0400390625
5543.912297241,1778070541.610586,14674,66.30000305175781,-94.35000610351562,-1498.4639892578125,5.550000190734863,275.8500061035156,-1370.929931640625
5543.913507383,1778070541.6118124,14675,66.30000305175781,-96.45000457763672,-1501.1259765625,5.550000190734863,273.9000244140625,-1364.39599609375
5543.91467161,1778070541.6130157,14676,65.25,-98.85000610351562,-1501.1259765625,12.450000762939453,268.5,-1364.39599609375
5543.91588896,1778070541.6142273,14677,64.5,-98.85000610351562,-1496.77001953125,10.200000762939453,268.5,-1360.281982421875
5543.917152702,1778070541.6154575,14678,64.5,-90.45000457763672,-1488.5419921875,10.200000762939453,267.45001220703125,-1359.5560302734375
5543.918404109,1778070541.6166866,14679,63.30000305175781,-95.25,-1494.833984375,10.200000762939453,274.3500061035156,-1359.5560302734375
5543.919641506,1778070541.6179492,14680,68.25,-95.25,-1494.833984375,12.600000381469727,274.3500061035156,-1361.9759521484375
5543.92077082,1778070541.6191068,14681,68.25,-88.95000457763672,-1496.77001953125,12.600000381469727,271.20001220703125,-1353.5059814453125
5543.922000123,1778070541.620342,14682,64.20000457763672,-94.05000305175781,-1496.77001953125,14.100000381469727,270.3000183105469,-1366.33203125
5543.923152228,1778070541.6215,14683,62.10000228881836,-94.05000305175781,-1496.77001953125,7.650000095367432,271.95001220703125,-1366.33203125
5543.924335545,1778070541.622677,14684,62.10000228881836,-101.55000305175781,-1496.0439453125,7.650000095367432,271.95001220703125,-1367.300048828125
5543.925585145,1778070541.6239107,14685,57.150001525878906,-96.60000610351562,-1500.157958984375,9.15000057220459,267.1500244140625,-1364.8800048828125
5543.926758733,1778070541.625107,14686,62.85000228881836,-96.60000610351562,-1500.157958984375,10.5,271.0500183105469,-1364.8800048828125
5543.927989965,1778070541.6263387,14687,62.85000228881836,-90.0,-1488.783935546875,10.5,271.0500183105469,-1367.783935546875
5543.929218791,1778070541.6275675,14688,58.05000305175781,-91.05000305175781,-1499.18994140625,6.900000095367432,266.4000244140625,-1364.39599609375
5543.930356782,1778070541.628704,14689,64.95000457763672,-91.05000305175781,-1499.18994140625,10.950000762939453,266.5500183105469,-1364.39599609375
5543.931539757,1778070541.6298852,14690,64.95000457763672,-94.6500015258789,-1503.7879638671875,10.950000762939453,266.5500183105469,-1361.491943359375
5543.932734388,1778070541.6310754,14691,57.000003814697266,-94.05000305175781,-1492.4139404296875,9.600000381469727,268.6500244140625,-1354.23193359375
5543.934004348,1778070541.6323202,14692,69.1500015258789,-94.05000305175781,-1492.4139404296875,13.500000953674316,270.6000061035156,-1354.23193359375
5543.935135668,1778070541.6334724,14693,69.1500015258789,-101.4000015258789,-1500.157958984375,13.800000190734863,270.6000061035156,-1368.0260009765625
5543.936356941,1778070541.6347048,14694,65.4000015258789,-94.05000305175781,-1492.89794921875,13.800000190734863,273.9000244140625,-1366.0899658203125
5543.937559717,1778070541.635906,14695,67.35000610351562,-94.05000305175781,-1492.89794921875,14.100000381469727,272.5500183105469,-1366.0899658203125
5543.938772607,1778070541.6371214,14696,67.35000610351562,-96.45000457763672,-1498.4639892578125,13.050000190734863,272.5500183105469,-1362.7020263671875
5543.93997397,1778070541.6383257,14697,62.55000305175781,-97.80000305175781,-1502.093994140625,13.050000190734863,271.8000183105469,-1366.0899658203125
5543.94121952,1778070541.639567,14698,62.70000076293945,-97.80000305175781,-1502.093994140625,10.5,270.9000244140625,-1366.0899658203125
5543.942445138,1778070541.6407957,14699,62.70000076293945,-100.05000305175781,-1498.947998046875,9.300000190734863,270.9000244140625,-1365.1219482421875
5543.943624433,1778070541.6419766,14700,65.25,-101.4000015258789,-1503.5460205078125,9.300000190734863,263.5500183105469,-1366.0899658203125
5543.944823243,1778070541.6431723,14701,64.80000305175781,-101.4000015258789,-1503.5460205078125,8.100000381469727,272.8500061035156,-1360.7659912109375
5543.945993141,1778070541.6443403,14702,64.80000305175781,-98.4000015258789,-1498.7059326171875,8.40000057220459,272.8500061035156,-1360.7659912109375
5543.94721645,1778070541.6455657,14703,64.6500015258789,-96.30000305175781,-1498.7059326171875,8.40000057220459,266.1000061035156,-1359.072021484375
5543.948460266,1778070541.6467965,14704,58.05000305175781,-96.30000305175781,-1484.6700439453125,11.550000190734863,271.20001220703125,-1355.926025390625
5543.949639768,1778070541.647979,14705,58.05000305175781,-96.0,-1491.2039794921875,11.25,271.20001220703125,-1355.926025390625
5543.950806659,1778070541.6491525,14706,56.85000228881836,-94.20000457763672,-1491.2039794921875,11.25,270.6000061035156,-1371.656005859375
5543.952031943,1778070541.6503797,14707,65.10000610351562,-94.20000457763672,-1497.97998046875,4.5,272.1000061035156,-1371.656005859375
