t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
7022.34384266,3978,102018.86,99700.86,102033.3,102807.17,102030.55,102045.56,102039.31,102043.18
7022.36100498,3979,102039.83,99705.93,102039.19,102801.39,102035.62,102046.64,102044.39,102045.28
7022.381433816,3980,102032.95,99704.88,102037.29,102809.35,102033.48,102041.57,102055.32,102043.18
7022.402040141,3981,102027.9,99706.98,102045.28,102800.3,102019.62,102047.71,102047.32,102036.25
7022.422626596,3982,102026.81,99698.95,102044.23,102808.26,102025.48,102049.55,102048.4,102041.07
7022.443530826,3983,102044.89,99704.88,102042.34,102805.37,102035.62,102038.65,102055.32,102035.2
7022.467479321,3984,102022.84,99684.8,102040.24,102811.15,102034.55,102043.72,102048.4,102043.18
7022.48829445,3985,102036.93,99708.03,102038.14,102807.17,102035.62,102046.64,102045.16,102035.2
7022.508782904,3986,102034.77,100130.6,102033.3,102826.37,102033.48,102038.65,102035.31,102044.23
7022.529433546,3987,102028.98,100645.78,102042.34,102823.1,102037.75,102053.55,102057.48,102042.13
7022.550107474,3988,102028.98,99717.98,102029.31,102811.15,102041.75,102039.72,102049.48,102044.23
7022.570734957,3989,102015.96,99706.98,102032.25,102807.17,102017.48,102037.57,102040.39,102028.27
7022.591426739,3990,102026.81,99702.97,102042.34,102816.22,102019.62,102038.65,102049.48,102035.2
7022.612170885,3991,102032.95,99692.83,102040.24,102827.46,102029.48,102058.62,102039.31,102050.1
7022.635373347,3992,102044.89,99703.83,102041.29,102819.49,102034.55,102054.62,102058.56,102044.23
7022.656115966,3993,102031.87,99700.0,102041.29,102810.44,102024.68,102042.64,102049.48,102035.2
7022.676694537,3994,102028.98,99682.89,102024.26,102820.21,102019.62,102047.71,102047.32,102037.3
7022.697389297,3995,102028.98,99681.83,102032.25,102811.53,102034.55,102047.71,102041.47,102039.19
7022.717986583,3996,102028.98,99689.87,102040.24,102815.51,102026.55,102063.69,102044.39,102055.14
7022.738673386,3997,102040.91,99693.02,102035.19,102824.19,102035.62,102039.72,102040.39,102044.23
7022.759289302,3998,102027.9,99689.87,102033.3,102810.44,102038.55,102036.5,102056.4,102043.18
7022.780164755,3999,102028.98,99690.92,102040.24,102825.28,102029.48,102030.66,102044.39,102045.28
7022.803373346,4000,102026.81,99688.81,102032.25,102839.4,102037.48,102037.57,102039.31,102044.23
7022.824059938,4001,102032.95,99690.92,102031.2,102834.33,102026.55,102051.7,102044.39,102044.23
7022.844581769,4002,102031.87,99690.92,102031.2,102828.17,102029.48,102043.72,102049.48,102042.13
7022.865337563,4003,102025.0,99691.97,102033.3,102824.19,102033.48,102050.63,102052.4,102051.15
7022.885911082,4004,102027.9,99678.87,102046.33,102834.33,102042.55,102039.72,102044.39,102030.16
7022.906766368,4005,102035.85,99698.95,102043.18,102841.21,102033.48,102062.61,102039.31,102033.1
7022.927937864,4006,102039.83,99684.8,102046.33,102855.33,102028.68,102045.56,102049.48,102039.19
7022.947553622,4007,102028.98,99684.8,102032.25,102840.12,102029.75,102045.56,102039.31,102035.2
7022.971061383,4008,102022.84,99680.78,102041.29,102823.1,102027.62,102041.57,102049.48,102051.15
7022.991687047,4009,102027.9,99696.85,102034.35,102851.35,102019.35,102033.58,102039.31,102036.25
7023.012172814,4010,102031.87,99688.81,102049.28,102849.17,102034.55,102053.55,102051.32,102042.13
7023.032805427,4011,102032.95,99673.8,102024.26,102843.39,102030.55,102036.5,102051.32,102033.1
7023.053999816,4012,102028.98,99686.9,102024.26,102838.31,102034.55,102033.58,102027.3,102035.2
