t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m4_x,m4_y,m4_z
6841.391191222,1778766821.1509986,29428,51.150001525878906,-133.0500030517578,-1510.8060302734375,-13.950000762939453,288.3000183105469,-1369.719970703125
6841.391217512,1778766821.151229,29429,55.500003814697266,-123.00000762939453,-1507.176025390625,-11.40000057220459,286.8000183105469,-1373.3499755859375
6841.39126923,1778766821.1512446,29430,56.250003814697266,-124.80000305175781,-1507.176025390625,-11.40000057220459,290.25,-1386.41796875
6841.391325265,1778766821.1512942,29431,56.70000076293945,-124.80000305175781,-1499.6739501953125,-12.15000057220459,291.1500244140625,-1380.3680419921875
6841.391333778,1778766821.1513493,29432,56.70000076293945,-126.45000457763672,-1508.8699951171875,-2.5500001907348633,284.70001220703125,-1388.35400390625
6841.391341329,1778766821.1513577,29433,56.70000076293945,-123.30000305175781,-1513.9520263671875,-9.0,293.8500061035156,-1388.35400390625
6841.391348951,1778766821.1513653,29434,55.650001525878906,-121.6500015258789,-1505.48193359375,-12.90000057220459,293.8500061035156,-1371.89794921875
6841.391356332,1778766821.151373,29435,56.55000305175781,-127.95000457763672,-1508.6280517578125,-12.450000762939453,287.1000061035156,-1380.85205078125
6841.39220828,1778766821.1522233,29436,57.900001525878906,-126.30000305175781,-1508.6280517578125,-12.450000762939453,286.0500183105469,-1381.5780029296875
6841.393684113,1778766821.1536977,29437,51.60000228881836,-126.30000305175781,-1505.7239990234375,-15.450000762939453,291.0,-1376.738037109375
6841.395225834,1778766821.1552246,29438,52.35000228881836,-123.45000457763672,-1499.6739501953125,-9.15000057220459,291.6000061035156,-1377.7059326171875
6841.398015303,1778766821.1580274,29439,52.35000228881836,-124.35000610351562,-1499.18994140625,-11.25,287.4000244140625,-1377.7059326171875
6841.39822473,1778766821.158223,29440,54.750003814697266,-128.25,-1494.592041015625,-11.550000190734863,287.4000244140625,-1376.011962890625
6841.399685589,1778766821.1596987,29441,53.400001525878906,-132.3000030517578,-1496.0439453125,-9.0,290.70001220703125,-1377.2220458984375
6841.401216064,1778766821.1612244,29442,54.60000228881836,-122.70000457763672,-1496.0439453125,-9.0,285.3000183105469,-1374.5599365234375
6841.402692246,1778766821.1626983,29443,54.30000305175781,-122.70000457763672,-1497.2540283203125,-17.55000114440918,291.6000061035156,-1372.865966796875
6841.404316122,1778766821.1642258,29444,54.30000305175781,-126.75000762939453,-1503.7879638671875,-7.950000286102295,291.0,-1377.7059326171875
6841.405700556,1778766821.1657,29445,54.30000305175781,-121.95000457763672,-1502.3359375,-12.15000057220459,285.75,-1377.7059326171875
6841.407213885,1778766821.1672244,29446,54.900001525878906,-118.50000762939453,-1506.2080078125,-11.100000381469727,285.75,-1377.7059326171875
