t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
7887.102181072,21922,99504.07,96391.87,99495.31,102967.27,99501.09,99514.92,99516.82,99483.98
7887.124157111,21923,99492.2,96390.84,99499.29,102959.34,99509.05,99509.88,99518.94,99485.01
7887.143196829,21924,99503.01,96396.89,99494.28,102959.34,99498.99,99503.8,99520.81,99490.88
7887.163809846,21925,99500.11,96388.9,99497.23,102968.37,99505.07,99513.86,99521.87,99491.91
7887.184258915,21926,99497.99,96384.9,99485.3,102958.25,99497.11,99499.01,99512.84,99487.95
7887.204875337,21927,99491.14,96376.91,99498.26,102955.38,99495.01,99501.93,99506.98,99487.95
7887.225278487,21928,99494.03,96374.96,99501.35,102955.38,99495.01,99514.92,99508.85,99492.95
7887.249661966,21929,99511.98,96376.91,99496.34,102959.34,99509.05,99513.86,99507.79,99497.95
7887.270108722,21930,99505.9,96363.9,99489.27,102968.37,99501.09,99510.94,99512.84,99492.95
7887.290738344,21931,99499.05,96361.95,99503.27,102961.54,99491.03,99512.81,99508.85,99492.95
7887.31216366,21932,99495.09,96352.93,99499.29,102967.27,99506.95,99508.83,99508.85,99492.95
7887.331799789,21933,99500.11,96352.93,99489.27,102971.24,99501.09,99507.77,99520.81,99498.81
7887.352282689,21934,99492.2,96357.95,99497.23,102967.27,99502.97,99507.77,99520.81,99490.88
7887.372854665,21935,99506.97,96361.95,99497.23,102983.13,99498.99,99513.86,99512.84,99492.95
7887.393302562,21936,99497.99,96344.94,99498.26,102983.13,99501.09,99506.96,99510.97,99492.95
7887.417677589,21937,99497.99,96344.94,99489.27,102983.13,99513.03,99514.92,99512.84,99495.88
7887.438116363,21938,99492.2,96321.99,99489.27,102975.2,99487.05,99495.03,99498.76,99481.05
7887.459409999,21939,99499.05,96327.93,99494.28,102992.16,99498.16,99501.93,99500.88,99485.01
7887.479202175,21940,99506.97,96344.94,99505.18,102997.89,99501.09,99509.88,99512.84,99487.95
7887.500926402,21941,99501.18,96334.9,99499.29,102984.23,99513.03,99502.18,99520.81,99482.95
7887.522212688,21942,99499.05,96339.0,99492.22,102992.16,99502.97,99499.01,99504.86,99475.01
7887.540927033,21943,99497.22,96333.98,99493.25,102983.13,99502.97,99502.99,99503.8,99490.88
7887.564670876,21944,99511.98,96348.94,99501.2,102991.06,99510.93,99523.92,99524.79,99498.81
7887.586133417,21945,99500.11,96341.97,99502.23,102987.1,99514.08,99508.02,99510.72,99504.85
7887.606091224,21946,99492.2,96341.97,99496.2,102983.13,99510.93,99511.99,99512.84,99492.95
7887.626791062,21947,99487.95,96343.0,99496.2,102998.99,99501.09,99501.93,99512.84,99492.95
7887.647191287,21948,99496.16,96336.95,99496.2,102991.06,99504.02,99505.91,99513.9,99486.91
7887.667826248,21949,99504.07,96339.0,99498.26,102988.87,99483.07,99504.85,99514.96,99486.91
7887.689098351,21950,99505.9,96343.0,99496.2,102983.13,99497.11,99507.77,99505.92,99500.88
7887.709046573,21951,99487.18,96346.99,99493.25,102998.99,99500.04,99492.92,99505.92,99500.88
7887.733069628,21952,99496.16,96349.96,99498.26,102998.99,99506.95,99510.94,99519.75,99500.88
7887.753134025,21953,99505.9,96346.99,99498.26,103001.19,99510.93,99519.7,99510.97,99500.88
7887.775040298,21954,99504.07,96360.93,99509.16,103002.96,99505.9,99510.94,99513.9,99500.88
7887.794847637,21955,99508.03,96353.96,99501.2,103006.92,99520.99,99516.78,99520.81,99486.91
7887.814843,21956,99491.14,96337.97,99481.32,102997.89,99496.06,99495.03,99494.77,99473.98
7887.836265881,21957,99487.18,96327.01,99483.38,103006.92,99492.08,99497.96,99504.86,99475.01
7887.85580235,21958,99499.82,96344.02,99496.2,103014.85,99500.04,99513.86,99514.96,99491.91
7887.876909134,21959,99522.79,96360.93,99499.29,103054.5,99510.93,99509.88,99520.81,99495.88
7887.900659957,21960,99489.01,96345.97,99481.32,103046.57,99486.01,99505.91,99508.85,99482.95
7887.92113793,21961,99500.11,96335.0,99489.27,103048.77,99493.13,99495.85,99504.86,99492.95
7887.941714902,21962,99491.14,96335.0,99489.27,103062.43,99488.1,99495.85,99497.7,99481.91
7887.962225915,21963,99527.81,96349.96,99513.13,103062.43,99510.93,99507.77,99522.93,99514.68
7887.983207269,21964,99500.11,96372.91,99497.23,103073.65,99520.99,99512.81,99516.82,99491.91
7888.003340321,21965,99486.12,96332.95,99495.31,103071.46,99489.15,99486.03,99511.78,99492.95
7888.023901068,21966,99495.09,96344.94,99490.3,103080.48,99496.06,99506.96,99508.85,99493.98
7888.045171941,21967,99509.86,96352.93,99502.23,103063.53,99487.05,99508.02,99510.72,99488.98
7888.068706016,21968,99505.9,96376.91,99505.18,103062.43,99498.99,99510.94,99520.81,99500.88
7888.089139611,21969,99501.95,96364.92,99498.26,103059.56,99495.01,99510.94,99504.86,99494.85
7888.109831298,21970,99494.03,96359.9,99498.26,103067.49,99497.11,99504.85,99504.86,99492.78
7888.130301709,21971,99491.14,96360.93,99497.23,103067.49,99500.04,99504.04,99512.84,99494.85
7888.151260339,21972,99504.84,96360.93,99499.29,103066.39,99497.11,99502.99,99513.9,99498.81
7888.17138013,21973,99508.03,96370.97,99488.24,103066.39,99495.01,99508.02,99512.84,99496.91
7888.194910199,21974,99490.07,96352.93,99488.24,103069.69,99497.11,99504.85,99501.94,99496.91
7888.21239872,21975,99505.9,96356.93,99489.27,103062.43,99505.07,99504.85,99516.82,99492.95
7888.236697802,21976,99501.95,96360.93,99497.23,103070.36,99495.01,99505.91,99520.81,99492.78
7888.257150287,21977,99486.12,96368.92,99494.28,103066.39,99495.01,99506.96,99502.74,99482.95
7888.277756724,21978,99505.9,96360.93,99489.27,103066.39,99495.01,99505.91,99504.86,99478.98
7888.29854736,21979,99506.97,96368.92,99499.29,103065.3,99517.01,99514.92,99512.84,99497.95
7888.31914287,21980,99505.9,96356.93,99504.15,103074.32,99509.05,99512.81,99512.84,99490.88
7888.339259677,21981,99495.86,96365.95,99498.26,103062.43,99505.07,99496.9,99512.84,99491.91
7888.36049152,21982,99494.03,96362.98,99499.29,103069.26,99510.93,99508.02,99502.74,99494.85
7888.380422225,21983,99490.07,96369.94,99487.21,103056.94,99491.03,99504.85,99499.82,99498.81
7888.406065911,21984,99506.97,96349.96,99492.37,103058.04,99511.98,99515.97,99516.82,99501.91
7888.425138878,21985,99496.93,96365.95,99493.25,103058.46,99505.07,99512.81,99506.98,99490.88
7888.445784906,21986,99495.86,96366.97,99502.23,103066.39,99513.03,99503.8,99518.94,99491.91
7888.466229518,21987,99499.05,96353.96,99488.24,103079.39,99505.07,99512.81,99512.84,99496.91
7888.48684575,21988,99500.11,96360.93,99495.31,103065.3,99505.07,99511.99,99520.81,99492.95
7888.507282971,21989,99503.01,96360.93,99510.19,103066.39,99495.01,99507.77,99509.91,99500.88
7888.527881005,21990,99505.13,96352.93,99500.32,103070.36,99497.11,99505.91,99511.78,99490.88
7888.548441663,21991,99503.01,96350.88,99492.22,103067.49,99506.95,99497.96,99503.8,99498.81
7888.572702387,21992,99504.84,96349.96,99485.3,103062.43,99495.01,99513.86,99515.76,99488.98
7888.594108414,21993,99508.03,96364.92,99500.32,103070.36,99504.02,99504.85,99510.72,99498.81
7888.613820799,21994,99504.84,96360.93,99502.23,103066.39,99505.07,99496.9,99514.96,99499.85
7888.634371281,21995,99497.99,96352.93,99501.2,103062.43,99498.99,99497.96,99511.78,99493.82
7888.654939701,21996,99497.99,96352.93,99487.21,103063.53,99498.99,99495.85,99505.92,99499.85
