t_pc,sample_idx,force
7994.949675266,1297,-8.3789
7995.387909374,1298,-8.3459
7995.826177794,1299,-6.8189
7996.264449449,1300,-6.5788
7996.702799963,1301,-19.7883
7997.14098075,1302,-89.8959
7997.583133245,1303,-5.7581
7998.021529358,1304,19.3099
7998.459818049,1305,26.9199
7998.898044836,1306,29.1606
7999.336322319,1307,29.3732
7999.774574755,1308,28.1928
8000.212897517,1309,27.6902
8000.651481795,1310,28.8244
8001.090019172,1311,28.4693
8001.5316189,1312,28.618
8001.969909293,1313,28.8159
8002.40813608,1314,28.6579
8002.846496029,1315,29.174
8003.284735475,1316,29.3816
8003.722935922,1317,30.2628
8004.161223782,1318,30.046
8004.599558822,1319,28.5592
8005.037741893,1320,28.768
8005.476334804,1321,28.7779
8005.91832941,1322,28.7606
8006.356583929,1323,29.4877
8006.794949967,1324,29.0598
8007.233118025,1325,28.7117
8007.671419635,1326,24.366
8008.109634564,1327,28.8163
8008.547871276,1328,28.696
8008.986160479,1329,29.2188
8009.424524393,1330,29.5794
8009.862690789,1331,29.2566
8010.301035795,1332,28.6412
8010.743331907,1333,28.209
8011.18305665,1334,28.629
8011.61981144,1335,28.533
8012.058140071,1336,28.81
8012.496298685,1337,28.0033
8012.934802372,1338,28.1005
8013.372853963,1339,27.9446
8013.811063695,1340,27.8312
8014.249307027,1341,27.2421
8014.687518351,1342,27.8299
8015.125888134,1343,27.9669
8015.568130014,1344,27.6986
8016.008333932,1345,27.982
8016.444708668,1346,29.6603
8016.882967774,1347,28.4919
8017.32126692,1348,28.5573
8017.759493107,1349,28.8899
8018.19775675,1350,43.7467
8018.635992931,1351,71.5401
8019.074261822,1352,101.5714
8019.512463932,1353,132.7965
8019.954786965,1354,167.3907
8020.393368007,1355,159.267
8020.831337606,1356,-5.9235
8021.269650854,1357,-2.977
