t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z,m4_x,m4_y,m4_z
18421.01316221,1775742617.842779,10339,70.95000457763672,-32.10000228881836,-1440.1419677734375,353.4000244140625,-824.550048828125,-1415.699951171875,-807.9000244140625,407.1000061035156,-1228.634033203125,-73.05000305175781,-114.60000610351562,-1323.0140380859375,63.750003814697266,222.3000030517578,-1278.001953125
18421.013232271,1775742617.8428504,10340,79.95000457763672,-30.000001907348633,-1438.447998046875,364.5,-823.6500244140625,-1414.248046875,-801.300048828125,405.9000244140625,-1232.2640380859375,-79.5,-124.95000457763672,-1327.85400390625,65.4000015258789,219.90000915527344,-1284.052001953125
18421.014796047,1775742617.8444185,10341,72.75,-30.600000381469727,-1431.9139404296875,355.3500061035156,-819.1500244140625,-1415.9420166015625,-793.9500122070312,408.45001220703125,-1234.199951171875,-78.1500015258789,-124.20000457763672,-1327.85400390625,64.05000305175781,219.00001525878906,-1299.0560302734375
18421.016934625,1775742617.846568,10342,73.6500015258789,-26.700000762939453,-1440.8680419921875,358.0500183105469,-822.6000366210938,-1418.845947265625,-802.050048828125,414.0000305175781,-1223.3099365234375,-80.10000610351562,-118.50000762939453,-1331.4840087890625,60.150001525878906,225.3000030517578,-1287.43994140625
18421.019055534,1775742617.8486917,10343,77.55000305175781,-25.350000381469727,-1439.1739501953125,360.6000061035156,-820.3500366210938,-1414.489990234375,-801.0000610351562,413.2500305175781,-1228.1500244140625,-86.55000305175781,-122.10000610351562,-1326.1600341796875,69.9000015258789,225.45001220703125,-1285.7459716796875
18421.021100554,1775742617.850739,10344,70.6500015258789,-29.850000381469727,-1441.8359375,361.0500183105469,-823.800048828125,-1419.572021484375,-798.9000244140625,406.20001220703125,-1233.23193359375,-82.6500015258789,-117.30000305175781,-1329.06396484375,64.6500015258789,225.90000915527344,-1293.9739990234375
18421.023198712,1775742617.8528457,10345,75.60000610351562,-31.650001525878906,-1434.8179931640625,361.6500244140625,-822.6000366210938,-1413.52197265625,-797.8500366210938,408.6000061035156,-1217.7440185546875,-78.9000015258789,-119.4000015258789,-1334.14599609375,63.000003814697266,222.15000915527344,-1278.969970703125
18421.025377763,1775742617.8549993,10346,76.95000457763672,-30.900001525878906,-1440.6259765625,364.8000183105469,-824.7000122070312,-1422.2340087890625,-803.4000244140625,407.4000244140625,-1221.8580322265625,-76.35000610351562,-121.35000610351562,-1324.7080078125,62.400001525878906,220.8000030517578,-1291.7960205078125
18421.027501731,1775742617.8571203,10347,78.60000610351562,-31.200000762939453,-1434.5760498046875,361.0500183105469,-823.800048828125,-1419.572021484375,-807.6000366210938,413.1000061035156,-1218.7120361328125,-75.45000457763672,-117.1500015258789,-1337.050048828125,65.4000015258789,226.95001220703125,-1291.0699462890625
18421.02964083,1775742617.8592489,10348,75.75,-33.30000305175781,-1438.68994140625,357.75,-822.7500610351562,-1418.3619384765625,-806.7000122070312,409.6500244140625,-1230.3280029296875,-85.05000305175781,-119.70000457763672,-1328.5799560546875,62.85000228881836,222.90000915527344,-1277.5179443359375
