t_pc,sample_idx,S0,S1,S2,S3,S4,S5,S6,S7
17899.21412938,1044,101585.36,100307.61,101596.98,100020.6,101580.0,101615.5,101599.44,101599.22
17899.234778674,1045,101597.36,100287.43,101596.98,100026.48,101581.06,101607.47,101597.3,101602.19
17899.255221025,1046,101584.29,100283.39,101585.98,100023.54,101581.06,101616.56,101599.44,101602.19
17899.275737592,1047,101601.36,100287.43,101590.0,100019.54,101581.06,101612.55,101599.44,101601.3
17899.296350091,1048,101587.5,100300.59,101590.0,100019.54,101589.1,101618.45,101615.53,101592.25
17899.320212495,1049,101584.29,100305.68,101594.01,100016.6,101588.04,101619.75,101593.28,101605.31
17899.340814381,1050,101587.5,100299.54,101580.93,100025.65,101586.13,101617.63,101599.44,101595.21
17899.361423615,1051,101588.29,100294.45,101592.08,100025.65,101584.02,101615.5,101591.4,101596.26
17899.381948765,1052,101601.36,100303.58,101592.97,100023.54,101580.0,101625.65,101606.42,101597.3
17899.402631284,1053,101594.43,100296.55,101594.01,100019.54,101580.0,101617.63,101599.44,101584.23
17899.423225717,1054,101590.43,100296.55,101590.0,100021.65,101575.98,101618.69,101597.3,101594.17
17899.44378279,1055,101589.36,100293.57,101592.08,100020.6,101580.0,101616.56,101598.37,101601.3
17899.464352661,1056,101584.29,100299.54,101581.97,100020.6,101585.08,101618.69,101599.44,101603.23
17899.48816265,1057,101585.36,100297.6,101591.04,100019.54,101580.0,101615.5,101607.49,101596.26
17899.508782468,1058,101590.43,100305.68,101593.86,100010.71,101580.0,101609.36,101599.44,101596.26
17899.529418254,1059,101586.43,100287.43,101590.0,100019.54,101578.95,101621.64,101592.46,101604.27
17899.54993318,1060,101582.15,100304.63,101594.01,100020.6,101588.04,101625.65,101607.49,101600.26
17899.570526999,1061,101588.29,100296.55,101580.93,100022.48,101590.15,101619.51,101599.44,101596.26
17899.59110243,1062,101588.29,100280.4,101584.94,100019.54,101580.0,101599.44,101605.35,101596.26
17899.611675659,1063,101597.36,100300.59,101599.06,100019.54,101594.17,101608.53,101591.4,101589.28
17899.63226886,1064,101593.36,100296.55,101591.04,100009.43,101577.04,101615.5,101608.56,101605.31
17899.656047684,1065,101592.29,100297.6,101594.01,100012.6,101588.04,101607.47,101599.44,101600.26
17899.676672033,1066,101580.29,100303.58,101593.86,100022.48,101588.04,101619.51,101598.37,101592.25
17899.697297161,1067,101598.43,100291.46,101598.02,100020.6,101588.04,101608.53,101598.37,101601.3
17899.717857465,1068,101592.29,100288.48,101590.0,100020.6,101581.06,101615.5,101611.51,101584.23
17899.738484994,1069,101597.36,100289.53,101590.0,100018.48,101585.93,101608.53,101599.44,101605.31
17899.759064255,1070,101593.36,100295.5,101587.02,100018.48,101585.08,101616.56,101617.67,101580.22
17899.779595724,1071,101584.29,100289.53,101596.09,100020.6,101582.11,101615.5,101615.53,101587.2
17899.800285065,1072,101585.36,100293.57,101595.94,100019.54,101588.04,101614.43,101598.37,101590.32
17899.824058019,1073,101580.29,100297.6,101581.97,100019.54,101590.15,101616.56,101597.3,101600.26
17899.844726471,1074,101590.43,100292.51,101581.97,100019.54,101581.06,101615.5,101603.46,101588.24
17899.865285747,1075,101584.29,100289.53,101585.98,100020.6,101584.02,101607.47,101598.37,101589.28
17899.886099684,1076,101584.29,100293.57,101590.0,100019.54,101580.0,101611.73,101599.44,101598.34
17899.906407973,1077,101589.36,100296.55,101581.97,100014.48,101584.02,101617.63,101598.37,101592.25
17899.927005561,1078,101589.36,100299.54,101593.12,100020.6,101580.0,101616.56,101611.51,101592.25
17899.947572377,1079,101585.36,100293.57,101598.02,100012.6,101582.11,101613.61,101597.3,101588.24
17899.968174898,1080,101590.43,100294.62,101588.96,100025.65,101586.13,101623.53,101599.44,101595.21
17899.992058033,1081,101585.36,100293.57,101584.05,100018.48,101588.04,101595.43,101598.37,101591.21
17900.012624004,1082,101597.36,100292.51,101600.1,100023.54,101578.09,101607.47,101595.42,101600.26
17900.033185776,1083,101593.36,100291.63,101590.0,100019.54,101582.11,101614.68,101599.44,101599.22
17900.053835658,1084,101584.29,100300.59,101585.98,100020.6,101578.09,101613.61,101599.44,101589.28
17900.074330612,1085,101590.43,100292.51,101584.05,100020.6,101584.02,101616.56,101591.4,101590.32
17900.094976961,1086,101588.29,100304.63,101584.05,100020.6,101590.15,101608.53,101609.63,101600.26
17900.11558021,1087,101585.36,100308.66,101584.05,100011.54,101577.04,101613.61,101596.49,101602.34
17900.136137571,1088,101578.44,100297.6,101590.0,100020.6,101581.06,101612.55,101599.44,101592.25
17900.16002976,1089,101588.29,100300.59,101581.97,100021.65,101580.0,101613.37,101596.49,101597.3
17900.180563542,1090,101592.29,100297.6,101592.08,100038.71,101588.04,101607.47,101595.42,101594.33
17900.201199972,1091,101588.29,100297.6,101596.09,100024.6,101580.0,101614.68,101599.44,101596.26
17900.221712149,1092,101596.29,100297.6,101583.01,100022.71,101580.0,101620.58,101599.44,101601.3
17900.242276293,1093,101585.36,100281.45,101583.01,100003.54,101588.04,101603.46,101596.49,101595.21
17900.262841324,1094,101603.5,100298.65,101590.0,100012.6,101589.1,101620.58,101588.44,101592.25
17900.28345921,1095,101592.29,100303.58,101596.09,100008.6,101588.04,101607.47,101595.42,101602.19
17900.304129782,1096,101603.5,100304.63,101589.1,100020.6,101582.11,101603.46,101598.37,101600.26
17900.327928243,1097,101588.29,100293.57,101600.1,100029.65,101580.0,101617.63,101607.49,101599.38
17900.348547643,1098,101596.29,100296.55,101590.0,100020.6,101574.07,101609.6,101601.58,101600.26
17900.369264037,1099,101586.43,100293.57,101594.01,100020.6,101581.06,101604.52,101609.63,101598.34
17900.389646419,1100,101583.5,100296.55,101596.09,100019.54,101582.11,101613.61,101591.4,101597.3
17900.410180216,1101,101597.36,100296.55,101585.98,100012.6,101582.11,101612.55,101592.46,101588.24
17900.430766381,1102,101589.36,100297.6,101595.05,100018.48,101588.04,101615.5,101591.4,101598.34
17900.451395677,1103,101591.5,100289.53,101585.98,100015.54,101580.0,101617.38,101599.44,101601.3
17900.471884733,1104,101577.37,100297.6,101602.04,100012.6,101571.96,101612.55,101599.44,101588.24
17900.495917678,1105,101594.43,100296.55,101588.96,100020.6,101573.02,101608.53,101600.51,101600.26
17900.516480534,1106,101588.29,100295.67,101590.0,100025.65,101581.06,101612.55,101601.58,101598.34
17900.537016829,1107,101602.43,100292.51,101581.97,100021.65,101580.0,101621.64,101599.44,101595.21
17900.557619851,1108,101585.36,100299.54,101590.0,100022.71,101578.95,101607.47,101600.51,101596.26
17900.578225694,1109,101593.36,100289.53,101590.0,100019.54,101575.98,101608.53,101600.51,101596.26
17900.598822424,1110,101588.29,100304.63,101590.0,100014.71,101580.0,101616.56,101609.63,101586.16
17900.619357563,1111,101584.29,100297.6,101590.0,100019.54,101582.11,101620.58,101597.56,101593.29
17900.6432326,1112,101584.29,100297.6,101599.06,100020.6,101581.06,101599.44,101609.63,101604.27
17900.663868612,1113,101585.36,100295.5,101590.0,100020.6,101580.0,101611.48,101595.42,101611.25
17900.684493014,1114,101595.5,100296.55,101590.0,100015.54,101590.15,101617.63,101599.44,101587.2
17900.705034513,1115,101584.29,100293.57,101591.04,100012.6,101580.0,101614.43,101607.49,101614.37
17900.725614082,1116,101597.36,100289.53,101592.08,100022.71,101581.06,101605.34,101599.44,101596.26
17900.746127223,1117,101584.29,100297.6,101590.0,100021.65,101582.96,101612.55,101595.42,101592.25
17900.766739676,1118,101590.43,100298.65,101591.04,100023.54,101593.12,101610.42,101596.49,101584.23
17900.787314114,1119,101586.43,100295.5,101588.06,100016.6,101580.0,101615.5,101591.4,101598.34
17900.811181012,1120,101586.43,100297.6,101590.0,100022.71,101574.93,101603.46,101593.53,101595.21
17900.83176672,1121,101582.15,100296.55,101592.08,100020.6,101596.08,101614.68,101601.58,101592.25
17900.852342016,1122,101591.5,100289.53,101598.02,100026.71,101582.11,101608.53,101600.51,101586.16
17900.872955275,1123,101590.43,100305.68,101584.05,100020.6,101575.98,101617.63,101600.51,101592.25
17900.893482227,1124,101593.36,100297.6,101581.97,100012.6,101580.0,101601.57,101607.49,101605.31
17900.928411134,1125,101588.29,100294.62,101590.0,100020.6,101582.11,101617.63,101611.51,101598.34
17900.940231712,1126,101587.5,100297.6,101599.06,100020.6,101584.02,101615.5,101599.44,101588.24
17900.955587425,1127,101602.43,100298.65,101592.08,100008.6,101585.08,101620.58,101599.44,101605.31
17900.979156161,1128,101592.29,100297.6,101591.04,100020.6,101584.02,101609.36,101601.58,101596.26
17900.99971635,1129,101585.36,100305.68,101581.97,100018.48,101582.11,101613.61,101591.4,101588.24
17901.020286826,1130,101586.43,100292.51,101596.09,100022.71,101580.0,101617.63,101600.51,101596.26
17901.040881641,1131,101576.3,100297.6,101592.08,100020.6,101588.04,101612.55,101597.56,101592.25
17901.061454153,1132,101587.5,100304.63,101587.02,100019.54,101596.08,101616.56,101601.58,101598.34
17901.08208376,1133,101590.43,100289.53,101590.0,100017.65,101580.0,101615.5,101595.67,101596.26
17901.102634631,1134,101593.36,100297.6,101591.04,100021.65,101584.02,101609.6,101600.51,101588.24
17901.123180982,1135,101584.29,100296.55,101592.08,100022.71,101590.15,101616.56,101607.49,101605.31
17901.147125123,1136,101593.36,100297.6,101591.04,100024.6,101582.11,101611.48,101609.63,101596.26
17901.167671286,1137,101586.43,100295.5,101595.05,100020.6,101581.91,101605.58,101591.4,101600.26
17901.188260814,1138,101604.57,100299.71,101590.0,100021.65,101588.04,101618.69,101599.44,101595.21
17901.208825835,1139,101598.43,100305.68,101594.01,100020.6,101582.11,101605.58,101591.4,101588.24
17901.229397338,1140,101598.43,100306.73,101590.0,100025.65,101580.0,101617.63,101608.56,101600.26
17901.250062501,1141,101590.43,100309.72,101585.98,100023.77,101586.13,101619.51,101605.6,101598.34
17901.270609592,1142,101595.5,100297.6,101581.97,100024.6,101586.13,101601.57,101609.63,101596.26
17901.291155111,1143,101600.29,100292.51,101585.98,100016.6,101589.1,101611.48,101607.49,101601.3
17901.315039899,1144,101589.36,100305.68,101594.01,100019.54,101580.0,101616.56,101591.4,101598.34
17901.335664349,1145,101587.5,100300.59,101596.09,100019.54,101588.04,101615.5,101595.42,101590.32
17901.356197061,1146,101583.22,100305.68,101590.0,100012.6,101588.04,101615.5,101595.42,101594.17
17901.376837395,1147,101592.29,100296.55,101590.0,100019.54,101589.1,101609.6,101599.44,101606.35
17901.397360225,1148,101576.3,100289.53,101584.05,100009.65,101582.11,101618.69,101601.58,101595.21
17901.418064735,1149,101598.43,100302.69,101598.02,100028.6,101580.0,101601.57,101595.42,101596.26
17901.438546921,1150,101585.36,100301.64,101590.0,100021.65,101596.08,101615.5,101608.56,101598.34
17901.459115207,1151,101584.57,100303.74,101598.02,100020.6,101589.1,101616.56,101599.44,101600.26
17901.48304292,1152,101592.57,100301.64,101590.0,100019.54,101590.15,101616.56,101592.46,101588.24
17901.503557425,1153,101596.29,100298.65,101596.09,100027.77,101582.11,101617.63,101601.58,101589.28
17901.524176512,1154,101594.43,100297.6,101596.09,100017.65,101580.0,101617.63,101596.49,101593.29
17901.544780115,1155,101592.29,100307.78,101592.08,100022.71,101573.87,101618.69,101600.51,101591.36
17901.565338738,1156,101589.36,100301.64,101591.04,100016.6,101588.04,101616.56,101601.58,101599.38
17901.585991848,1157,101589.36,100313.75,101594.01,100020.6,101589.1,101615.5,101599.44,101598.34
17901.606515928,1158,101600.29,100308.83,101592.08,100012.6,101580.0,101619.75,101607.49,101598.34
17901.627122171,1159,101590.43,100297.6,101594.01,100017.65,101580.0,101619.51,101608.56,101593.29
17901.651022188,1160,101585.36,100300.59,101585.09,100014.71,101582.11,101613.61,101599.44,101606.35
17901.67159402,1161,101592.29,100307.78,101591.04,100038.71,101584.02,101621.64,101601.58,101596.26
17901.692176217,1162,101590.43,100293.57,101588.06,100008.6,101586.13,101618.69,101616.6,101599.38
17901.712699602,1163,101587.5,100301.64,101581.97,100022.71,101585.08,101610.66,101597.56,101605.31
17901.733608895,1164,101589.36,100301.64,101590.0,100026.71,101586.13,101609.36,101601.58,101598.34
17901.753864423,1165,101587.5,100297.6,101584.05,100024.6,101580.0,101618.69,101599.44,101600.26
17901.774446422,1166,101597.36,100307.78,101592.08,100022.71,101582.11,101616.56,101599.44,101596.26
17901.795052771,1167,101591.5,100293.57,101595.05,100020.6,101578.95,101619.75,101595.42,101597.3
17901.818912501,1168,101585.36,100299.71,101583.01,100022.71,101587.19,101624.83,101597.56,101592.25
17901.839502563,1169,101601.36,100305.68,101592.08,100020.6,101582.11,101609.6,101595.42,101614.37
17901.860092288,1170,101587.5,100305.68,101584.05,100020.6,101597.14,101618.69,101615.53,101598.34
17901.880693449,1171,101586.43,100307.78,101583.01,100021.65,101575.98,101615.5,101606.67,101606.35
17901.901276384,1172,101590.43,100293.57,101581.97,100018.71,101598.19,101615.74,101615.53,101596.26
17901.921836418,1173,101577.37,100293.57,101585.98,100026.71,101571.96,101607.71,101599.44,101602.34
17901.942459011,1174,101592.57,100301.64,101592.08,100020.6,101586.13,101609.6,101599.44,101598.34
17901.96626165,1175,101592.57,100298.65,101592.08,100011.54,101588.04,101612.55,101611.51,101590.32
17901.986888116,1176,101599.5,100293.57,101592.08,100012.6,101581.06,101613.61,101617.67,101592.25
17902.007467502,1177,101587.5,100289.53,101583.01,100020.6,101598.19,101609.6,101608.56,101597.3
17902.028035345,1178,101595.5,100304.63,101581.97,100021.65,101580.0,101618.69,101597.56,101592.25
17902.048742665,1179,101590.43,100297.6,101591.04,100024.6,101588.04,101618.69,101600.51,101591.21
17902.069184725,1180,101590.43,100306.73,101584.05,100020.6,101582.11,101621.64,101608.56,101592.25
17902.089759542,1181,101595.5,100303.74,101591.04,100024.6,101581.06,101601.57,101601.58,101601.3
17902.110331409,1182,101586.43,100302.69,101590.0,100019.54,101590.15,101609.6,101597.56,101588.24
17902.134190554,1183,101586.43,100307.78,101591.04,100022.71,101580.0,101609.6,101602.65,101590.32
17902.154855126,1184,101594.43,100294.62,101590.0,100014.71,101582.11,101609.6,101593.53,101588.24
17902.175340484,1185,101595.5,100289.53,101583.01,100021.65,101586.13,101615.74,101591.4,101606.35
17902.195949271,1186,101587.5,100297.6,101591.04,100016.6,101582.96,101626.72,101602.65,101600.26
17902.216535562,1187,101587.5,100293.57,101592.08,100023.77,101580.0,101595.43,101596.49,101580.22
17902.237086322,1188,101587.5,100306.73,101578.99,100021.65,101586.13,101600.51,101593.53,101596.26
17902.257655326,1189,101590.43,100289.53,101592.08,100024.6,101583.17,101616.56,101597.56,101601.3
17902.278465753,1190,101590.43,100302.69,101577.95,100022.71,101584.02,101613.61,101596.49,101588.24
