t_pc,sample_idx,force
17270.002429868,171,-18.2824
17270.443904998,172,-18.5928
17270.885121532,173,-18.5021
17271.324602762,174,-18.5047
17271.763069459,175,-18.5232
17272.205315484,176,-18.5342
17272.643800929,177,-18.5428
17273.086012259,178,-18.4799
17273.524570234,179,-34.0466
17273.966446076,180,-151.4793
17274.404742653,181,-5.3929
17274.847065492,182,19.3487
17275.285300409,183,19.4621
17275.727793698,184,19.4281
17276.166110651,185,19.4774
17276.608304506,186,19.4806
17277.04655027,187,19.4654
17277.488883863,188,19.4999
17277.92716375,189,19.4546
17278.369512925,190,19.4967
17278.807783269,191,20.5997
17279.250238058,192,20.9817
17279.688383641,193,22.5349
17280.130702786,194,22.0207
17280.569080901,195,19.6978
17281.011361581,196,19.7695
17281.449602774,197,19.7782
17281.891926622,198,19.8084
17282.330205173,199,19.8275
17282.772600772,200,19.8474
17283.210811822,201,19.8526
17283.653627524,202,19.8577
17284.091444687,203,19.8712
17284.533806117,204,19.8757
17284.972059028,205,14.7434
17285.414392426,206,10.2295
17285.852680357,207,19.9888
17286.294953654,208,20.3246
17286.733316068,209,20.2781
17287.175645071,210,20.2199
17287.613901761,211,20.288
17288.056250813,212,20.2088
17288.495202435,213,20.2545
17288.936865841,214,20.1899
17289.37517342,215,20.1951
17289.81755527,216,20.2506
17290.255726472,217,20.1739
17290.698124507,218,20.2471
17291.13632704,219,20.204
17291.578706769,220,20.1943
17292.016974746,221,20.2405
17292.459330266,222,20.1787
17292.897552624,223,20.237
17293.339904563,224,20.1896
17293.778173587,225,20.1774
17294.220488119,226,20.2332
17294.658770746,227,20.1668
17295.101145227,228,20.1974
17295.539416614,229,20.1777
17295.981772411,230,20.1607
17296.419961537,231,20.1919
17296.86234694,232,20.1396
17297.300602131,233,20.1986
17297.74298623,234,20.1684
17298.181226467,235,20.173
17298.623659391,236,20.1963
17299.061894556,237,20.1648
17299.504240036,238,20.1812
17299.942455842,239,20.167
17300.384760887,240,20.1867
17300.823054953,241,20.1872
17301.265425881,242,20.1924
17301.703654573,243,20.2013
17302.146036546,244,20.2071
17302.584264972,245,20.2257
17303.026675414,246,20.1879
17303.46485058,247,20.1461
17303.907308857,248,20.1919
17304.345541668,249,20.2841
17304.787831122,250,20.2205
17305.226162589,251,20.2681
17305.668475605,252,20.3116
17306.106690867,253,20.2906
17306.54904268,254,20.3526
17306.987622685,255,20.3461
17307.429771524,256,20.355
17307.868012557,257,20.3739
17308.310376937,258,20.3988
17308.748525223,259,20.3721
17309.190964262,260,20.3746
17309.629223614,261,19.9521
17310.071510557,262,19.0026
17310.509795519,263,26.051
17310.952160819,264,35.464
17311.390352518,265,45.3453
17311.832742014,266,53.3161
17312.270949556,267,53.2146
17312.713334377,268,54.1928
17313.15163999,269,44.6801
17313.594968495,270,20.5046
